accuracy	0.851371	0.851159	0.847969	0.857325	0.853285	0.852860	0.852009	0.846694	0.850946	0.852860	0.861365	0.845630	0.854348	0.848820	0.842016	0.864980	0.845843	0.858176	0.850521	0.854136
recall	0.608080	0.610822	0.613847	0.620810	0.618176	0.610785	0.603293	0.610605	0.615230	0.613064	0.620444	0.608069	0.620136	0.608969	0.607598	0.617654	0.594960	0.609622	0.613069	0.615722
precision	0.761329	0.781396	0.771228	0.771708	0.778694	0.775082	0.778642	0.771113	0.756739	0.779931	0.778444	0.747273	0.763979	0.766450	0.754616	0.783350	0.781958	0.766189	0.767472	0.760020
f1score	0.634706	0.638539	0.641253	0.651023	0.647603	0.638655	0.629391	0.637136	0.642821	0.641534	0.651670	0.633216	0.649335	0.635454	0.632234	0.649354	0.617417	0.637938	0.640683	0.644075
mcc	0.336122	0.353185	0.351446	0.362354	0.362960	0.349141	0.339304	0.346332	0.344000	0.355810	0.366261	0.326941	0.356165	0.340792	0.331036	0.365170	0.327260	0.341644	0.347809	0.346930
spd0-0	0.054116	0.052299	0.050360	0.055285	0.053547	0.048725	0.045699	0.048090	0.054203	0.049121	0.047725	0.050599	0.058850	0.048954	0.055931	0.044878	0.039741	0.050386	0.053211	0.052957
spd0-1	0.068291	0.066801	0.078257	0.075348	0.073868	0.070602	0.063942	0.077078	0.079177	0.071659	0.075985	0.081633	0.076183	0.074511	0.075623	0.070485	0.061442	0.066800	0.073722	0.077965
spd0	0.014175	0.014501	0.027898	0.020063	0.020321	0.021877	0.018243	0.028988	0.024974	0.022537	0.028260	0.031033	0.017333	0.025557	0.019692	0.025607	0.021700	0.016414	0.020511	0.025008
aod0-0	0.302746	0.276791	0.265491	0.302408	0.281084	0.272894	0.242704	0.267719	0.286287	0.274221	0.277293	0.271423	0.305279	0.271101	0.282865	0.297594	0.213304	0.277974	0.294071	0.307637
aod0-1	0.249380	0.257817	0.285202	0.288855	0.286024	0.265660	0.249267	0.273214	0.290603	0.269869	0.295626	0.280816	0.290922	0.268114	0.265909	0.271649	0.232892	0.261423	0.269794	0.278460
aod0	0.026683	0.009487	0.009856	0.006777	0.002470	0.003617	0.003282	0.002748	0.002158	0.002176	0.009167	0.004697	0.007179	0.001493	0.008478	0.012972	0.009794	0.008276	0.012139	0.014588
eod0-0	0.280443	0.253571	0.242857	0.279152	0.257951	0.253623	0.222222	0.248201	0.262590	0.253676	0.257576	0.249110	0.277372	0.254125	0.256944	0.280851	0.196364	0.254826	0.272059	0.285171
eod0-1	0.221154	0.237828	0.257770	0.260606	0.261450	0.239464	0.229287	0.244123	0.257253	0.245779	0.268145	0.243856	0.263158	0.235756	0.235935	0.245545	0.213768	0.236948	0.241121	0.245648
eod0	0.059289	0.015744	0.014913	0.018546	0.003500	0.014160	0.007065	0.004078	0.005337	0.007898	0.010569	0.005254	0.014214	0.018369	0.021010	0.035307	0.017404	0.017878	0.030937	0.039523
spd1-0	0.053206	0.048249	0.061995	0.061761	0.052700	0.057745	0.048452	0.047400	0.061156	0.052736	0.055848	0.052279	0.054545	0.051574	0.049225	0.042857	0.047844	0.047431	0.054197	0.056043
spd1-1	0.065493	0.065517	0.066480	0.067589	0.070120	0.061591	0.058440	0.070980	0.070607	0.064972	0.065703	0.073497	0.074270	0.067290	0.074224	0.066077	0.053122	0.064678	0.068966	0.070453
spd1	0.012287	0.017269	0.004486	0.005828	0.017420	0.003846	0.009987	0.023580	0.009451	0.012236	0.009855	0.021219	0.019724	0.015716	0.024999	0.023219	0.005278	0.017247	0.014769	0.014410
aod1-0	0.246737	0.272850	0.321036	0.298937	0.282998	0.299948	0.267952	0.256736	0.306374	0.286152	0.291072	0.259760	0.280441	0.253118	0.222046	0.235337	0.236780	0.267462	0.256823	0.325828
aod1-1	0.273628	0.263002	0.264182	0.290323	0.284458	0.256139	0.240738	0.274736	0.281738	0.265997	0.287054	0.280815	0.301662	0.271817	0.286102	0.292399	0.222021	0.267410	0.283851	0.276086
aod1	0.013445	0.004924	0.028427	0.004307	0.000730	0.021905	0.013607	0.009000	0.012318	0.010077	0.002009	0.010527	0.010611	0.009350	0.032028	0.028531	0.007379	0.000026	0.013514	0.024871
eod1-0	0.220588	0.253968	0.293194	0.268657	0.259259	0.276382	0.248677	0.237113	0.275676	0.264249	0.268293	0.234375	0.256410	0.228426	0.194872	0.215470	0.215686	0.247253	0.230769	0.302857
eod1-1	0.248722	0.240000	0.240566	0.266898	0.260518	0.233723	0.220033	0.248038	0.254098	0.243464	0.263063	0.249191	0.271959	0.247154	0.257764	0.270125	0.205457	0.241739	0.258765	0.246281
eod1	0.028134	0.013968	0.052628	0.001759	0.001259	0.042659	0.028644	0.010924	0.021577	0.020785	0.005230	0.014816	0.015549	0.018728	0.062892	0.054656	0.010229	0.005514	0.027995	0.056576
wcspd-00	0.040462	0.040816	0.049645	0.051502	0.046784	0.043027	0.046477	0.032857	0.049459	0.044818	0.037518	0.031519	0.044577	0.040288	0.037410	0.036568	0.036585	0.039161	0.045723	0.043042
wcspd-01	0.060385	0.057441	0.050691	0.056978	0.056629	0.051248	0.045367	0.055082	0.056209	0.051163	0.052292	0.059164	0.065104	0.052835	0.064389	0.048829	0.041114	0.055780	0.056591	0.057361
