accuracy	0.861655	0.861445	0.858286	0.852390	0.861445	0.860813	0.858918	0.851969	0.855338	0.857444	0.859760	0.857865	0.856812	0.854285	0.866919	0.857444	0.855759	0.860813	0.859339	0.857023
recall	0.639622	0.650077	0.644881	0.627522	0.644645	0.645109	0.638992	0.634798	0.642459	0.642704	0.636144	0.642124	0.642646	0.635000	0.653403	0.629819	0.651093	0.647506	0.637279	0.655582
precision	0.785524	0.793497	0.776439	0.778482	0.783863	0.781829	0.766826	0.758712	0.793037	0.771217	0.782798	0.788256	0.780043	0.778814	0.790839	0.783199	0.785759	0.772010	0.769262	0.772655
f1score	0.673281	0.684836	0.677420	0.658089	0.678352	0.678544	0.670540	0.664485	0.675813	0.674568	0.669055	0.675529	0.675230	0.666637	0.688763	0.661801	0.684260	0.679949	0.669059	0.687451
mcc	0.399326	0.419749	0.400253	0.376896	0.405262	0.404455	0.385158	0.373491	0.408635	0.393466	0.392435	0.404811	0.399734	0.388020	0.422447	0.383482	0.415578	0.400615	0.384521	0.411923
spd0-0	0.057582	0.057130	0.061771	0.055456	0.072025	0.063208	0.058201	0.066199	0.063365	0.065588	0.055385	0.057939	0.067496	0.059675	0.063226	0.057435	0.063820	0.061901	0.061599	0.069726
spd0-1	0.088116	0.099157	0.098603	0.085157	0.082120	0.092464	0.096332	0.094003	0.089713	0.094639	0.088521	0.093650	0.089708	0.089082	0.093647	0.080304	0.103011	0.100611	0.089837	0.107680
spd0	0.030534	0.042027	0.036832	0.029701	0.010095	0.029256	0.038131	0.027804	0.026348	0.029050	0.033136	0.035711	0.022212	0.029407	0.030421	0.022868	0.039191	0.038710	0.028238	0.037955
aod0-0	0.340927	0.354215	0.341629	0.303487	0.388039	0.347984	0.319119	0.336370	0.351862	0.358497	0.343623	0.326115	0.363658	0.322240	0.367348	0.322034	0.336966	0.332958	0.345683	0.355899
aod0-1	0.331688	0.360809	0.362461	0.313552	0.321326	0.352342	0.356827	0.341997	0.332012	0.347666	0.320920	0.349617	0.335508	0.332077	0.363352	0.305641	0.381233	0.380367	0.333347	0.401319
aod0	0.004620	0.003297	0.010416	0.005033	0.033357	0.002179	0.018854	0.002814	0.009925	0.005415	0.011351	0.011751	0.014075	0.004918	0.001998	0.008197	0.022133	0.023704	0.006168	0.022710
eod0-0	0.323232	0.337979	0.319218	0.283828	0.360656	0.325806	0.292593	0.308917	0.331169	0.333333	0.327526	0.307190	0.335640	0.302251	0.344710	0.302013	0.312500	0.307432	0.320285	0.326733
eod0-1	0.295775	0.322034	0.322068	0.280303	0.291498	0.315682	0.319149	0.300797	0.300000	0.308300	0.283203	0.314066	0.303940	0.295938	0.329243	0.275049	0.344383	0.340081	0.297030	0.358925
eod0	0.027458	0.015945	0.002849	0.003525	0.069158	0.010124	0.026556	0.008120	0.031169	0.025033	0.044323	0.006876	0.031700	0.006313	0.015467	0.026964	0.031883	0.032649	0.023255	0.032192
spd1-0	0.069680	0.069738	0.078125	0.066167	0.066369	0.065397	0.077548	0.069136	0.066336	0.071429	0.073141	0.066163	0.074796	0.064615	0.069444	0.065056	0.076005	0.079046	0.061224	0.087850
spd1-1	0.075412	0.083996	0.081931	0.073721	0.082652	0.084751	0.078413	0.086609	0.082908	0.085254	0.072389	0.081910	0.081381	0.080986	0.083412	0.071770	0.089009	0.083360	0.083972	0.090967
