accuracy	0.817444	0.829796	0.829113	0.828636	0.831980	0.838054	0.819559	0.829455	0.821061	0.829728	0.826861	0.827885	0.825428	0.827817	0.829182	0.823654	0.829182	0.826452	0.822289	0.828568
recall	0.735651	0.715048	0.705035	0.703194	0.707962	0.716072	0.743786	0.726782	0.667494	0.689997	0.684373	0.713743	0.723452	0.718166	0.724791	0.733377	0.693742	0.716898	0.722007	0.689680
precision	0.746783	0.779830	0.790298	0.784661	0.789547	0.801840	0.753555	0.777849	0.812551	0.796306	0.800940	0.769447	0.765923	0.772105	0.775012	0.759335	0.800125	0.775401	0.761348	0.797525
f1score	0.740853	0.737424	0.731015	0.728532	0.733725	0.743249	0.748392	0.745856	0.696059	0.718609	0.713303	0.733943	0.740008	0.737916	0.743649	0.744523	0.722321	0.737620	0.737525	0.718246
mcc	0.482305	0.490620	0.487940	0.481005	0.490774	0.510761	0.497245	0.502040	0.457605	0.474542	0.471106	0.479969	0.487529	0.487294	0.497274	0.492028	0.482273	0.488811	0.481752	0.475119
spd0-0	0.079212	0.040630	0.050759	0.032291	0.051044	0.043009	0.107699	0.062410	0.038033	0.043146	0.050165	0.060116	0.058482	0.059161	0.068196	0.104577	0.036367	0.064927	0.081628	0.044376
spd0-1	0.291207	0.230441	0.203433	0.213666	0.205013	0.207825	0.286150	0.243632	0.147766	0.179019	0.167805	0.226473	0.251653	0.235156	0.239406	0.254988	0.187615	0.230533	0.246800	0.178732
spd0	0.211995	0.189810	0.152674	0.181374	0.153970	0.164817	0.178451	0.181222	0.109733	0.135873	0.117640	0.166357	0.193171	0.175995	0.171211	0.150411	0.151248	0.165606	0.165171	0.134356
aod0-0	0.435758	0.272871	0.331551	0.235935	0.335910	0.294358	0.517064	0.378140	0.270761	0.301225	0.321166	0.342183	0.325804	0.339147	0.397358	0.534976	0.272989	0.368058	0.437747	0.303679
aod0-1	0.766058	0.636964	0.566097	0.593004	0.576415	0.591126	0.761654	0.660777	0.424794	0.512494	0.479891	0.630933	0.686010	0.643611	0.655057	0.690645	0.524922	0.630605	0.664746	0.508774
aod0	0.165150	0.182047	0.117273	0.178535	0.120253	0.148384	0.122295	0.141318	0.077016	0.105635	0.079363	0.144375	0.180103	0.152232	0.128849	0.077834	0.125966	0.131273	0.113499	0.102548
eod0-0	0.393346	0.260474	0.313093	0.228519	0.317580	0.279923	0.451796	0.350575	0.261510	0.289134	0.301708	0.313093	0.298182	0.309198	0.366483	0.473054	0.263566	0.338156	0.393939	0.290203
eod0-1	0.613528	0.538957	0.490099	0.505914	0.498313	0.517959	0.623416	0.557680	0.382736	0.448757	0.427197	0.532897	0.571235	0.543376	0.552791	0.575829	0.459459	0.534644	0.553028	0.446723
eod0	0.220182	0.278483	0.177006	0.277395	0.180733	0.238036	0.171620	0.207105	0.121226	0.159623	0.125490	0.219804	0.273053	0.234178	0.186308	0.102775	0.195894	0.196488	0.159088	0.156519
spd1-0	0.208394	0.125523	0.113571	0.125527	0.123209	0.133270	0.201709	0.130885	0.101302	0.107159	0.111475	0.131739	0.183388	0.183616	0.143262	0.177747	0.123069	0.159550	0.155039	0.130958
spd1-1	0.222734	0.175252	0.159920	0.158252	0.159328	0.157135	0.231787	0.192753	0.113911	0.138773	0.131890	0.178514	0.188889	0.175273	0.188946	0.210219	0.139735	0.178246	0.197712	0.134886
spd1	0.014341	0.049729	0.046350	0.032725	0.036119	0.023865	0.030078	0.061868	0.012609	0.031614	0.020415	0.046775	0.005501	0.008342	0.045683	0.032472	0.016665	0.018697	0.042674	0.003928
aod1-0	0.806980	0.567173	0.519435	0.536913	0.553458	0.614163	0.786386	0.575775	0.464578	0.515247	0.532877	0.588665	0.730184	0.718904	0.626589	0.729809	0.566385	0.656570	0.677093	0.568160
aod1-1	0.677736	0.560594	0.517905	0.516577	0.523451	0.524453	0.699070	0.605419	0.386002	0.462822	0.439401	0.569463	0.595236	0.564667	0.595956	0.647478	0.464678	0.564710	0.608955	0.453433
