accuracy	0.818945	0.819423	0.816761	0.816761	0.818262	0.822289	0.819491	0.816488	0.812120	0.818126	0.818058	0.818399	0.817444	0.818808	0.820037	0.821129	0.817034	0.820719	0.816966	0.817648
recall	0.687154	0.689911	0.687902	0.683462	0.690401	0.694725	0.691069	0.690607	0.683253	0.685061	0.692511	0.682954	0.688380	0.687482	0.692805	0.692294	0.687355	0.690936	0.684559	0.686584
precision	0.761845	0.766765	0.766720	0.763787	0.762538	0.771330	0.769066	0.764265	0.762884	0.763731	0.765908	0.760095	0.761972	0.764760	0.768445	0.768637	0.767056	0.775790	0.764932	0.765492
f1score	0.710199	0.713372	0.711309	0.707017	0.713002	0.718515	0.714719	0.713255	0.706130	0.708576	0.715307	0.706246	0.711105	0.710908	0.716175	0.715893	0.710911	0.715692	0.708162	0.710097
mcc	0.442743	0.450163	0.447738	0.439978	0.447157	0.459716	0.453476	0.448869	0.438973	0.441842	0.452506	0.436281	0.444299	0.445590	0.455005	0.454564	0.447367	0.458947	0.442247	0.445136
spd0-0	0.059922	0.056799	0.054712	0.060469	0.069436	0.058799	0.057688	0.062823	0.060307	0.057184	0.061107	0.056177	0.053505	0.059365	0.061847	0.056326	0.060407	0.056503	0.062193	0.057792
spd0-1	0.197546	0.199919	0.200792	0.192524	0.198696	0.200813	0.200122	0.203892	0.197392	0.194923	0.205118	0.193102	0.204150	0.197174	0.201638	0.201038	0.197323	0.195892	0.193036	0.196982
spd0	0.137624	0.143119	0.146080	0.132055	0.129260	0.142014	0.142434	0.141070	0.137086	0.137739	0.144011	0.136925	0.150645	0.137809	0.139790	0.144712	0.136916	0.139389	0.130843	0.139191
aod0-0	0.326096	0.318106	0.309368	0.325155	0.369826	0.330728	0.318362	0.339870	0.326387	0.339563	0.335109	0.309460	0.288504	0.323821	0.357991	0.329355	0.327210	0.325447	0.349374	0.313933
aod0-1	0.546308	0.553899	0.547983	0.532436	0.549182	0.557708	0.552127	0.554815	0.535092	0.537730	0.560328	0.538356	0.563087	0.543252	0.554052	0.553930	0.539173	0.541450	0.529489	0.543511
aod0	0.110106	0.117897	0.119308	0.103640	0.089678	0.113490	0.116883	0.107472	0.104353	0.099083	0.112610	0.114448	0.137291	0.109716	0.098030	0.112288	0.105982	0.108001	0.090057	0.114789
eod0-0	0.293542	0.291439	0.282732	0.294333	0.332703	0.301158	0.289225	0.306513	0.296501	0.314917	0.303605	0.280835	0.261818	0.291585	0.329650	0.301397	0.294574	0.300181	0.318182	0.284658
eod0-1	0.462950	0.469851	0.464356	0.452518	0.466262	0.476670	0.470647	0.470007	0.452443	0.453184	0.474959	0.455047	0.474898	0.462004	0.469738	0.470706	0.459789	0.464357	0.449649	0.461849
eod0	0.169408	0.178412	0.181624	0.158185	0.133559	0.175512	0.181422	0.163493	0.155942	0.138266	0.171353	0.174212	0.213080	0.170419	0.140088	0.169309	0.165215	0.164176	0.131467	0.177191
spd1-0	0.110950	0.108322	0.106352	0.102576	0.112225	0.113422	0.108211	0.112994	0.107091	0.103464	0.111944	0.106423	0.104993	0.098399	0.121040	0.117267	0.109556	0.104176	0.104651	0.106432
spd1-1	0.158506	0.160454	0.160557	0.156575	0.163309	0.161043	0.160848	0.164818	0.160413	0.157351	0.165282	0.155112	0.163070	0.160188	0.160791	0.159606	0.158811	0.157323	0.156724	0.158662
spd1	0.047555	0.052133	0.054204	0.053998	0.051084	0.047622	0.052637	0.051823	0.053322	0.053887	0.053338	0.048689	0.058077	0.061789	0.039751	0.042339	0.049255	0.053147	0.052073	0.052229
aod1-0	0.503234	0.479121	0.464357	0.438471	0.467112	0.499362	0.484567	0.492862	0.476468	0.468777	0.500612	0.482048	0.462193	0.439915	0.558114	0.529657	0.494634	0.474723	0.484659	0.477719
aod1-1	0.502510	0.507504	0.503446	0.494982	0.516952	0.513859	0.507543	0.514209	0.494338	0.496680	0.516469	0.492403	0.511675	0.506589	0.506712	0.506808	0.498250	0.499064	0.492547	0.499441
