accuracy	0.684065	0.679908	0.695150	0.669746	0.679446	0.668360	0.664203	0.687760	0.669284	0.661432	0.679446	0.678984	0.688684	0.671594	0.690993	0.684988	0.684988	0.681755	0.678060	0.660970
recall	0.677413	0.673318	0.689396	0.664984	0.675606	0.663368	0.658809	0.680952	0.664977	0.656311	0.674199	0.675496	0.684087	0.663304	0.687321	0.680049	0.681780	0.678587	0.673530	0.654573
precision	0.682187	0.678193	0.692381	0.666769	0.673908	0.664163	0.660210	0.684995	0.665321	0.655759	0.675622	0.675796	0.688713	0.666129	0.687943	0.682809	0.683183	0.677996	0.674521	0.656471
f1score	0.678170	0.673977	0.690225	0.665497	0.674495	0.663695	0.659289	0.681853	0.665135	0.656002	0.674718	0.675634	0.684442	0.664165	0.687589	0.680697	0.682194	0.678249	0.673918	0.655161
mcc	0.359568	0.351477	0.381766	0.331748	0.349510	0.327530	0.319016	0.365924	0.330298	0.312069	0.349818	0.351293	0.372771	0.329421	0.375264	0.362848	0.364960	0.356583	0.348050	0.311039
spd0-0	0.558790	0.560920	0.563001	0.543840	0.522701	0.531573	0.547619	0.557901	0.529445	0.536920	0.537209	0.518141	0.554015	0.554842	0.522216	0.534670	0.525155	0.524138	0.528226	0.536431
spd0-1	0.731235	0.722353	0.642005	0.669048	0.664430	0.697400	0.652370	0.716019	0.677885	0.653110	0.689888	0.705736	0.705069	0.716186	0.692130	0.738095	0.699495	0.647059	0.701632	0.741706
spd0	0.172445	0.161433	0.079004	0.125208	0.141729	0.165827	0.104751	0.158119	0.148439	0.116190	0.152678	0.187595	0.151054	0.161344	0.169914	0.203425	0.174339	0.122921	0.173406	0.205275
aod0-0	1.099889	1.111634	1.112803	1.076213	1.009895	1.040561	1.080008	1.095925	1.038713	1.050561	1.057061	1.016016	1.107819	1.088414	1.022035	1.051123	1.035967	1.024614	1.036405	1.053951
aod0-1	1.392048	1.347942	1.145312	1.230470	1.222812	1.321088	1.200198	1.342545	1.270928	1.200176	1.284717	1.323370	1.307477	1.322030	1.293497	1.419753	1.331155	1.187879	1.316668	1.404902
aod0	0.146079	0.118154	0.016255	0.077129	0.106459	0.140264	0.060095	0.123310	0.116108	0.074807	0.113828	0.153677	0.099829	0.116808	0.135731	0.184315	0.147594	0.081632	0.140131	0.175476
eod0-0	0.730141	0.726562	0.742257	0.696903	0.674394	0.684211	0.692478	0.727568	0.684267	0.680511	0.702104	0.679872	0.736721	0.698690	0.692391	0.712568	0.701850	0.686760	0.688792	0.678186
eod0-1	0.837209	0.830935	0.773050	0.789091	0.795139	0.798507	0.771626	0.835878	0.777778	0.742160	0.794521	0.826772	0.817544	0.835017	0.838951	0.833333	0.814815	0.774545	0.819853	0.838235
eod0	0.107068	0.104373	0.030793	0.092188	0.120745	0.114297	0.079148	0.108310	0.093511	0.061649	0.092416	0.146900	0.080823	0.136327	0.146560	0.120765	0.112965	0.087785	0.131061	0.160050
spd1-0	0.557814	0.557354	0.535221	0.537970	0.517290	0.541667	0.552725	0.547117	0.520760	0.514583	0.537762	0.520774	0.561308	0.549650	0.510291	0.544242	0.531250	0.509527	0.538730	0.544180
spd1-1	0.657182	0.659946	0.665272	0.624339	0.617647	0.606142	0.599734	0.666218	0.629032	0.648276	0.628571	0.611183	0.632712	0.663946	0.641534	0.631579	0.608276	0.621658	0.609290	0.638701
spd1	0.099368	0.102592	0.130051	0.086368	0.100357	0.064475	0.047009	0.119101	0.108272	0.133693	0.090809	0.090410	0.071404	0.114295	0.131243	0.087337	0.077026	0.112131	0.070560	0.094521
aod1-0	1.108566	1.109417	1.049253	1.066021	1.007796	1.069333	1.090388	1.086568	1.021196	1.012200	1.058431	1.037120	1.127262	1.081096	1.007930	1.083810	1.056657	0.992700	1.060699	1.073274
aod1-1	1.238007	1.253476	1.277752	1.189311	1.150210	1.145022	1.142036	1.263830	1.195938	1.216316	1.190567	1.134565	1.190955	1.259763	1.204317	1.191376	1.157268	1.181099	1.150716	1.223691
aod1	0.064721	0.072029	0.114249	0.061645	0.071207	0.037844	0.025824	0.088631	0.087371	0.102058	0.066068	0.048722	0.031846	0.089334	0.098194	0.053783	0.050305	0.094199	0.045008	0.075209
eod1-0	0.728022	0.733703	0.731932	0.703448	0.684625	0.705563	0.714092	0.737931	0.672848	0.662714	0.708945	0.690240	0.753103	0.711819	0.685871	0.726768	0.719562	0.677632	0.704394	0.704698
