accuracy	0.854136	0.855624	0.854774	0.858601	0.856475	0.853285	0.856687	0.847757	0.851159	0.857963	0.859239	0.848607	0.858388	0.853498	0.846268	0.871784	0.851797	0.858176	0.851371	0.857325
recall	0.643529	0.645577	0.653645	0.656098	0.651049	0.642947	0.639511	0.641022	0.640909	0.654092	0.648917	0.637732	0.664696	0.650290	0.639112	0.665652	0.635669	0.640048	0.647478	0.647935
precision	0.751776	0.772073	0.771456	0.755691	0.767458	0.753077	0.769838	0.752789	0.743891	0.770538	0.750228	0.744595	0.756583	0.758974	0.752882	0.780336	0.771256	0.747551	0.749236	0.755491
f1score	0.672833	0.677317	0.685142	0.685744	0.682353	0.672321	0.671048	0.669706	0.668972	0.685866	0.678319	0.665640	0.693601	0.680209	0.667602	0.699733	0.666402	0.669358	0.676010	0.677926
mcc	0.380196	0.398033	0.408450	0.399564	0.401992	0.380402	0.388049	0.377618	0.370763	0.408352	0.386073	0.367089	0.411137	0.394569	0.375121	0.430991	0.383672	0.372392	0.383442	0.388824
spd0-0	0.066849	0.065825	0.061151	0.064131	0.064073	0.061020	0.057348	0.061573	0.063849	0.060388	0.061106	0.058589	0.074694	0.064976	0.065855	0.058930	0.050832	0.061280	0.065138	0.063107
spd0-1	0.105431	0.099396	0.116176	0.119574	0.108817	0.110092	0.098745	0.113801	0.110847	0.113929	0.113369	0.115102	0.121091	0.115228	0.108608	0.109331	0.102403	0.102800	0.116528	0.110792
spd0	0.038583	0.033571	0.055025	0.055443	0.044743	0.049072	0.041398	0.052228	0.046998	0.053542	0.052262	0.056513	0.046396	0.050252	0.042753	0.050401	0.051571	0.041520	0.051390	0.047685
aod0-0	0.361668	0.350324	0.320635	0.330687	0.335286	0.327287	0.302099	0.332463	0.334191	0.325015	0.338412	0.314118	0.379758	0.342552	0.335623	0.384533	0.260186	0.340519	0.348679	0.362060
aod0-1	0.371464	0.363259	0.413800	0.436227	0.399094	0.387543	0.366877	0.381062	0.386447	0.412322	0.405749	0.386513	0.441353	0.406536	0.370594	0.410513	0.372890	0.369737	0.400623	0.385144
aod0	0.004898	0.006468	0.046583	0.052770	0.031904	0.030128	0.032389	0.024299	0.026128	0.043653	0.033668	0.036197	0.030797	0.031992	0.017486	0.012990	0.056352	0.014609	0.025972	0.011542
eod0-0	0.332103	0.321429	0.292857	0.300353	0.307420	0.300725	0.275986	0.305755	0.305755	0.297794	0.310606	0.288256	0.343066	0.316832	0.305556	0.361702	0.236364	0.312741	0.319853	0.334601
eod0-1	0.323077	0.325843	0.369287	0.383838	0.354962	0.337165	0.329480	0.329114	0.332689	0.367730	0.352823	0.330813	0.389864	0.353635	0.323049	0.366337	0.335145	0.321285	0.345794	0.334623
eod0	0.009026	0.004414	0.076430	0.083485	0.047541	0.036440	0.053494	0.023359	0.026933	0.069936	0.042217	0.042557	0.046798	0.036803	0.017493	0.004635	0.098781	0.008544	0.025941	0.000022
spd1-0	0.063438	0.060806	0.072776	0.075558	0.068966	0.067255	0.055855	0.057275	0.071237	0.067238	0.074901	0.063673	0.069360	0.064300	0.057991	0.053247	0.064016	0.067194	0.071381	0.066172
spd1-1	0.098239	0.094357	0.098167	0.101226	0.097284	0.096255	0.089835	0.104271	0.097356	0.098870	0.094939	0.099346	0.113114	0.103738	0.102484	0.101486	0.085430	0.091052	0.102821	0.097765
spd1	0.034801	0.033551	0.025391	0.025668	0.028318	0.029000	0.033981	0.046997	0.026120	0.031632	0.020037	0.035673	0.043753	0.039438	0.044494	0.048239	0.021414	0.023858	0.031440	0.031594
aod1-0	0.299719	0.337094	0.378032	0.369669	0.360683	0.344863	0.299034	0.303256	0.345714	0.360307	0.370754	0.312788	0.354085	0.319433	0.253898	0.295001	0.325582	0.356361	0.341409	0.362056
aod1-1	0.389222	0.365427	0.380708	0.404264	0.379493	0.370905	0.357499	0.381102	0.371247	0.387666	0.382151	0.371982	0.440850	0.400028	0.387811	0.433751	0.336499	0.357901	0.393560	0.378334
aod1	0.044752	0.014167	0.001338	0.017297	0.009405	0.013021	0.029233	0.038923	0.012767	0.013680	0.005698	0.029597	0.043383	0.040298	0.066956	0.069375	0.005458	0.000770	0.026075	0.008139
eod1-0	0.269608	0.312169	0.345550	0.333333	0.328042	0.316583	0.275132	0.278351	0.308108	0.331606	0.336585	0.281250	0.323077	0.289340	0.220513	0.270718	0.299020	0.324176	0.307692	0.331429
eod1-1	0.345826	0.328000	0.342767	0.360485	0.341424	0.327212	0.321839	0.334380	0.327869	0.348039	0.338739	0.326861	0.390203	0.356098	0.346273	0.395349	0.303371	0.316522	0.347245	0.335537
eod1	0.076218	0.015831	0.002782	0.027152	0.013382	0.010629	0.046707	0.056029	0.019761	0.016433	0.002153	0.045611	0.067126	0.066757	0.125760	0.124631	0.004351	0.007654	0.039553	0.004109
wcspd-00	0.047688	0.048105	0.052482	0.051502	0.049708	0.048961	0.046477	0.034286	0.049459	0.047619	0.044733	0.031519	0.047548	0.040288	0.040288	0.040788	0.042683	0.047552	0.050147	0.043042
wcspd-01	0.075647	0.073760	0.065174	0.069782	0.070620	0.066360	0.061981	0.074098	0.069935	0.066445	0.068431	0.070740	0.086589	0.076031	0.077530	0.067559	0.054377	0.067876	0.071904	0.072020
wcspd-10	0.077519	0.071342	0.091142	0.095990	0.084408	0.082707	0.063492	0.076923	0.087990	0.084682	0.100121	0.091940	0.087438	0.085213	0.073604	0.063932	0.080918	0.084682	0.088623	0.086735
wcspd-11	0.117919	0.113390	0.127647	0.131563	0.121321	0.122879	0.116223	0.132007	0.122255	0.127900	0.120098	0.126208	0.137337	0.129674	0.124853	0.131894	0.112800	0.111373	0.130332	0.122202
wcspd	0.070231	0.065285	0.075165	0.080061	0.071614	0.073917	0.069746	0.097722	0.072796	0.080281	0.075365	0.094689	0.089788	0.089387	0.084565	0.091107	0.070117	0.063821	0.080184	0.079160
wcaod-00	0.252599	0.324059	0.321069	0.293385	0.345089	0.337022	0.278918	0.244942	0.281406	0.315789	0.329988	0.242067	0.296885	0.278335	0.227210	0.327190	0.267123	0.320112	0.309407	0.358256
wcaod-01	0.403723	0.359128	0.320965	0.345357	0.333636	0.325104	0.310320	0.361413	0.352373	0.328997	0.342617	0.336755	0.409430	0.364370	0.376320	0.404328	0.258347	0.348573	0.364558	0.364974
wcaod-10	0.328682	0.344564	0.416854	0.421127	0.372031	0.352810	0.311429	0.337108	0.387340	0.387398	0.396936	0.355117	0.388565	0.348577	0.275082	0.283194	0.360240	0.381282	0.363701	0.370165
wcaod-11	0.387746	0.371631	0.413899	0.442430	0.408462	0.401335	0.386430	0.398803	0.387744	0.422038	0.409746	0.398020	0.461016	0.427092	0.396951	0.454463	0.377599	0.367677	0.414761	0.391558
wcaod	0.075562	0.023786	0.047944	0.074522	0.037413	0.038116	0.053756	0.076930	0.053169	0.053124	0.039879	0.077976	0.082065	0.074378	0.084871	0.085635	0.059626	0.030585	0.052677	0.016651
wceod-00	0.226667	0.301587	0.297297	0.269231	0.322581	0.318841	0.257143	0.230769	0.257143	0.294118	0.312500	0.229508	0.275362	0.263889	0.207792	0.310345	0.250000	0.298507	0.289474	0.339623
wceod-01	0.372449	0.327189	0.291262	0.312195	0.303167	0.294686	0.282297	0.328638	0.322115	0.299020	0.310000	0.304545	0.365854	0.333333	0.341232	0.378531	0.231527	0.317708	0.331633	0.333333
wceod-10	0.294574	0.317460	0.376068	0.373984	0.330709	0.315385	0.285714	0.302326	0.339130	0.352000	0.347518	0.305344	0.349206	0.304000	0.228814	0.252033	0.325758	0.339130	0.318182	0.327869
wceod-11	0.332481	0.328431	0.367442	0.387097	0.362720	0.344388	0.342500	0.337264	0.330846	0.372549	0.354930	0.339196	0.403101	0.369792	0.348730	0.403141	0.338095	0.315927	0.354839	0.336709
wceod	0.145782	0.026844	0.084806	0.117866	0.059553	0.049702	0.085357	0.106495	0.081988	0.078431	0.044930	0.109688	0.127738	0.105903	0.140938	0.151109	0.106568	0.040623	0.065365	0.011754
