accuracy	0.862919	0.866919	0.861655	0.856812	0.861023	0.859549	0.862708	0.855549	0.859128	0.854706	0.861234	0.861445	0.863340	0.860392	0.866498	0.861023	0.855549	0.861023	0.865235	0.857654
recall	0.670075	0.685332	0.665055	0.665757	0.676840	0.665745	0.672320	0.666096	0.669223	0.662278	0.668480	0.679709	0.679297	0.671090	0.678305	0.667453	0.670839	0.672963	0.667840	0.681373
precision	0.770179	0.789759	0.777194	0.769882	0.763169	0.763622	0.764665	0.757290	0.786521	0.750757	0.767438	0.776280	0.781927	0.778836	0.772971	0.771585	0.771043	0.760156	0.775749	0.762333
f1score	0.701149	0.718377	0.697577	0.696595	0.705519	0.695856	0.702098	0.694709	0.702467	0.690121	0.699101	0.710528	0.711362	0.703217	0.709150	0.698846	0.701239	0.701638	0.700304	0.708866
mcc	0.428723	0.463472	0.427795	0.423013	0.431456	0.418062	0.427116	0.413449	0.440390	0.403447	0.424537	0.445646	0.449661	0.436834	0.441235	0.426510	0.430370	0.424252	0.430264	0.436257
spd0-0	0.070769	0.070859	0.070410	0.067531	0.099693	0.082825	0.078924	0.079790	0.077198	0.079143	0.077363	0.076957	0.084813	0.075045	0.083011	0.077026	0.078652	0.079337	0.074268	0.083221
spd0-1	0.121261	0.129265	0.114215	0.125746	0.110032	0.111609	0.119307	0.123177	0.112440	0.122258	0.116411	0.129019	0.116139	0.117856	0.115924	0.113464	0.124406	0.124644	0.109756	0.136580
spd0	0.050492	0.058406	0.043805	0.058215	0.010340	0.028784	0.040383	0.043387	0.035243	0.043115	0.039048	0.052062	0.031326	0.042811	0.032913	0.036438	0.045754	0.045306	0.035488	0.053359
aod0-0	0.399015	0.408643	0.384701	0.359200	0.489276	0.414214	0.419520	0.397628	0.408841	0.388249	0.431381	0.414265	0.448443	0.383156	0.433798	0.404311	0.392910	0.413413	0.415218	0.418776
aod0-1	0.439440	0.471846	0.418895	0.448347	0.416959	0.417515	0.438577	0.442405	0.412037	0.438103	0.416712	0.465255	0.431995	0.443053	0.443217	0.421885	0.447260	0.454369	0.409815	0.488871
aod0	0.020212	0.031601	0.017097	0.044574	0.036159	0.001651	0.009529	0.022389	0.001598	0.024927	0.007334	0.025495	0.008224	0.029949	0.004710	0.008787	0.027175	0.020478	0.002702	0.035048
eod0-0	0.373737	0.383275	0.358306	0.333333	0.442623	0.377419	0.381481	0.363057	0.379870	0.350000	0.400697	0.385621	0.411765	0.353698	0.395904	0.372483	0.358553	0.378378	0.384342	0.382838
eod0-1	0.384306	0.421846	0.371769	0.393939	0.372470	0.370672	0.390716	0.386454	0.370370	0.383399	0.365234	0.410405	0.390244	0.396518	0.398773	0.375246	0.397790	0.398785	0.366337	0.428023
eod0	0.010568	0.038570	0.013463	0.060606	0.070153	0.006747	0.009234	0.023397	0.009500	0.033399	0.035462	0.024784	0.021521	0.042821	0.002869	0.002762	0.039237	0.020407	0.018005	0.045185
spd1-0	0.078468	0.087173	0.075625	0.073658	0.080408	0.075556	0.093809	0.077778	0.066336	0.080278	0.083589	0.075614	0.089252	0.072615	0.083333	0.079306	0.085427	0.083438	0.071738	0.095327
spd1-1	0.106464	0.108813	0.101620	0.110899	0.117222	0.108696	0.103175	0.115053	0.110969	0.112093	0.105061	0.118596	0.107346	0.111076	0.108057	0.104944	0.111815	0.112520	0.103448	0.119911
spd1	0.027996	0.021640	0.025995	0.037241	0.036813	0.033140	0.009366	0.037275	0.044633	0.031815	0.021471	0.042981	0.018094	0.038460	0.024724	0.025638	0.026388	0.029082	0.031710	0.024584
aod1-0	0.383844	0.432734	0.378063	0.354663	0.388870	0.365527	0.465962	0.372830	0.301423	0.355844	0.401877	0.405170	0.405735	0.360095	0.409085	0.380008	0.362983	0.398749	0.374804	0.442194
aod1-1	0.436242	0.451261	0.413263	0.435785	0.468517	0.434287	0.417004	0.442996	0.452448	0.441557	0.426763	0.458817	0.449365	0.445204	0.451652	0.428415	0.451903	0.451153	0.425035	0.467341
aod1	0.026199	0.009263	0.017600	0.040561	0.039823	0.034380	0.024479	0.035083	0.075513	0.042857	0.012443	0.026824	0.021815	0.042555	0.021284	0.024204	0.044460	0.026202	0.025115	0.012573
eod1-0	0.350877	0.396476	0.345455	0.323276	0.355263	0.330233	0.424658	0.336323	0.270833	0.313901	0.365957	0.376744	0.364407	0.334677	0.374449	0.347280	0.321285	0.358140	0.346847	0.396476
eod1-1	0.392226	0.412860	0.374576	0.390651	0.416813	0.389078	0.373239	0.392917	0.414474	0.392796	0.382979	0.409836	0.411263	0.400000	0.407207	0.385563	0.409699	0.403478	0.382979	0.417085
eod1	0.041349	0.016384	0.029122	0.067375	0.061549	0.058846	0.051418	0.056594	0.143640	0.078895	0.017021	0.033092	0.046856	0.065323	0.032758	0.038283	0.088414	0.045339	0.036132	0.020610
wcspd-00	0.042724	0.061252	0.047182	0.043716	0.067227	0.062246	0.064789	0.053806	0.046259	0.058824	0.057143	0.042553	0.067568	0.050532	0.055851	0.048143	0.051821	0.070573	0.047306	0.078512
wcspd-01	0.084535	0.075647	0.081830	0.079122	0.114523	0.092605	0.085366	0.092824	0.092297	0.088689	0.087708	0.094102	0.093254	0.087671	0.095995	0.090849	0.091330	0.083603	0.087696	0.085504
wcspd-10	0.110190	0.109942	0.101553	0.098851	0.091442	0.087321	0.116985	0.099068	0.083144	0.098707	0.107351	0.105389	0.108108	0.091638	0.108173	0.104848	0.112756	0.094899	0.093458	0.109215
wcspd-11	0.126994	0.139364	0.120852	0.139988	0.119827	0.124151	0.120603	0.136025	0.128221	0.134699	0.121212	0.140956	0.120292	0.131611	0.119975	0.118193	0.130620	0.140199	0.118454	0.151184
wcspd	0.084270	0.078113	0.073669	0.096272	0.052600	0.061904	0.055814	0.082219	0.081962	0.075875	0.064069	0.098403	0.052724	0.081079	0.064124	0.070050	0.078799	0.069626	0.071148	0.072672
wcaod-00	0.320327	0.403556	0.321660	0.255140	0.349873	0.354661	0.427341	0.321260	0.263372	0.304606	0.424268	0.342957	0.348401	0.300953	0.314757	0.321065	0.240759	0.385326	0.333308	0.454105
wcaod-01	0.426301	0.410789	0.405659	0.395426	0.535149	0.431482	0.418020	0.425924	0.460054	0.410760	0.435659	0.437894	0.493110	0.420433	0.475149	0.434947	0.444738	0.424258	0.447549	0.406300
wcaod-10	0.422667	0.453496	0.412274	0.408301	0.405236	0.370399	0.484588	0.406641	0.323371	0.378131	0.400126	0.440861	0.442853	0.399346	0.456592	0.413678	0.421668	0.408643	0.401042	0.438793
wcaod-11	0.447438	0.479276	0.421944	0.467030	0.423755	0.438882	0.418324	0.458022	0.450297	0.466467	0.424543	0.476717	0.426696	0.463187	0.437652	0.425857	0.459115	0.473202	0.414274	0.510575
wcaod	0.063556	0.037860	0.050142	0.105945	0.092638	0.042110	0.033284	0.068381	0.098341	0.080931	0.017767	0.066880	0.072354	0.081117	0.080196	0.056941	0.109178	0.043938	0.057121	0.052137
wceod-00	0.305556	0.379747	0.301370	0.233766	0.310811	0.318841	0.393443	0.296296	0.240506	0.265625	0.402778	0.328358	0.314607	0.284211	0.283784	0.302632	0.207792	0.349398	0.315789	0.415584
wceod-01	0.395556	0.384615	0.376068	0.367257	0.484848	0.394191	0.377990	0.386266	0.427948	0.372881	0.400000	0.401674	0.455000	0.384259	0.433790	0.396396	0.409692	0.389671	0.409756	0.371681
wceod-10	0.371795	0.405405	0.367347	0.367742	0.376623	0.335616	0.436709	0.359155	0.285714	0.333333	0.349693	0.398649	0.394558	0.366013	0.418301	0.368098	0.372093	0.363636	0.363014	0.386667
wceod-11	0.390029	0.428198	0.373596	0.404826	0.370588	0.385507	0.370474	0.397222	0.406332	0.406340	0.372493	0.415094	0.388601	0.409341	0.389881	0.378613	0.409704	0.411602	0.367688	0.444744
wceod	0.090000	0.048452	0.074699	0.171060	0.174038	0.075350	0.066235	0.100926	0.187441	0.140715	0.053085	0.086736	0.140393	0.125130	0.150006	0.093765	0.201911	0.062205	0.093967	0.073063
