accuracy	0.682679	0.680370	0.694688	0.669746	0.681293	0.669746	0.663279	0.686836	0.668360	0.664203	0.680370	0.680831	0.690531	0.672979	0.691917	0.684988	0.685912	0.680831	0.676212	0.660970
recall	0.675569	0.673272	0.688350	0.664901	0.677089	0.664116	0.657685	0.680019	0.663744	0.658633	0.675133	0.676725	0.685883	0.664314	0.687984	0.680127	0.682504	0.677757	0.671851	0.654972
precision	0.681011	0.678997	0.692088	0.666771	0.675585	0.665456	0.659244	0.684041	0.664304	0.658363	0.676564	0.677549	0.690678	0.667560	0.688852	0.682787	0.684155	0.677105	0.672673	0.656521
f1score	0.676297	0.673898	0.689266	0.665426	0.676144	0.664607	0.658197	0.680912	0.663987	0.658491	0.675656	0.677059	0.686247	0.665249	0.688338	0.680766	0.682958	0.677378	0.672184	0.655492
mcc	0.356539	0.352222	0.380420	0.331666	0.352671	0.329569	0.316925	0.364039	0.328047	0.316996	0.351694	0.354273	0.376530	0.331859	0.376834	0.362904	0.366655	0.354862	0.344523	0.311490
spd0-0	0.564498	0.568391	0.570447	0.544413	0.526193	0.539036	0.549361	0.558471	0.532304	0.540355	0.538372	0.525510	0.555170	0.558926	0.525101	0.534097	0.525721	0.522989	0.525346	0.533563
spd0-1	0.733656	0.722353	0.642005	0.671429	0.664430	0.697400	0.654628	0.713592	0.680288	0.657895	0.685393	0.708229	0.705069	0.716186	0.694444	0.735714	0.712121	0.647059	0.703963	0.734597
spd0	0.169158	0.153962	0.071558	0.127016	0.138236	0.158364	0.105266	0.155121	0.147984	0.117540	0.147021	0.182719	0.149899	0.157260	0.169343	0.201617	0.186400	0.124070	0.178617	0.201034
aod0-0	1.111445	1.126555	1.127672	1.077319	1.016464	1.055319	1.083676	1.097133	1.044382	1.057123	1.059276	1.030606	1.110130	1.096379	1.027612	1.050030	1.037144	1.022462	1.030829	1.048119
aod0-1	1.398500	1.347942	1.149066	1.237367	1.222812	1.321088	1.203658	1.338728	1.280923	1.207144	1.274756	1.327307	1.301071	1.322030	1.299557	1.413580	1.354152	1.187879	1.323038	1.390882
aod0	0.143527	0.110693	0.010697	0.080024	0.103174	0.132885	0.059991	0.120797	0.118271	0.075011	0.107740	0.148351	0.095471	0.112825	0.135972	0.181775	0.158504	0.082709	0.146104	0.171382
eod0-0	0.734494	0.734375	0.750000	0.698009	0.679663	0.692803	0.692478	0.727568	0.687500	0.685836	0.704319	0.688437	0.737875	0.704148	0.696739	0.711475	0.701850	0.684607	0.684440	0.676026
eod0-1	0.837209	0.830935	0.769504	0.789091	0.795139	0.798507	0.775087	0.832061	0.774074	0.749129	0.791096	0.830709	0.824561	0.835017	0.838951	0.833333	0.831276	0.774545	0.819853	0.830882
eod0	0.102715	0.096560	0.019504	0.091082	0.115476	0.105704	0.082609	0.104494	0.086574	0.063293	0.086777	0.142272	0.086686	0.130868	0.142212	0.121858	0.129426	0.089938	0.135413	0.154856
spd1-0	0.565522	0.562984	0.543508	0.537970	0.520819	0.544492	0.554140	0.547820	0.524279	0.518056	0.539161	0.528653	0.562670	0.553147	0.513840	0.543539	0.533333	0.508116	0.534543	0.540673
spd1-1	0.657182	0.666667	0.666667	0.626984	0.618984	0.618158	0.602394	0.664872	0.630376	0.652414	0.625850	0.615085	0.632712	0.666667	0.642857	0.630229	0.612414	0.621658	0.612022	0.634641
spd1	0.091659	0.103683	0.123158	0.089014	0.098165	0.073666	0.048253	0.117052	0.106098	0.134358	0.086690	0.086431	0.070041	0.113520	0.129018	0.086690	0.079080	0.113542	0.077479	0.093968
aod1-0	1.124074	1.120680	1.065730	1.066021	1.014787	1.075108	1.093351	1.088003	1.028173	1.018939	1.061102	1.052790	1.130054	1.087885	1.014887	1.082387	1.060803	0.990068	1.052440	1.066184
aod1-1	1.238007	1.266972	1.282248	1.194825	1.150735	1.167142	1.147601	1.261666	1.200325	1.222740	1.184865	1.143588	1.190955	1.265573	1.207673	1.189163	1.165309	1.181099	1.157565	1.215780
aod1	0.056966	0.073146	0.108259	0.064402	0.067974	0.046017	0.027125	0.086832	0.086076	0.101900	0.061882	0.045399	0.030450	0.088844	0.096393	0.053388	0.052253	0.095515	0.052563	0.074798
eod1-0	0.733516	0.739251	0.741130	0.703448	0.688568	0.706920	0.714092	0.737931	0.676821	0.667984	0.711615	0.701556	0.757241	0.717131	0.691358	0.726768	0.722298	0.675000	0.699068	0.702013
eod1-1	0.795100	0.785872	0.778824	0.744493	0.735294	0.731602	0.709890	0.770563	0.758465	0.753747	0.748879	0.744283	0.762911	0.767391	0.788210	0.756637	0.740139	0.756757	0.743182	0.726269
