accuracy	0.806111	0.796111	0.798778	0.808222	0.791444	0.792333	0.795444	0.800000	0.797222	0.801000	0.797000	0.795111	0.793889	0.796111	0.792333	0.797333	0.797222	0.803333	0.789667	0.806556
recall	0.565584	0.559821	0.563826	0.565668	0.554833	0.556692	0.563763	0.568873	0.561788	0.568847	0.562121	0.564562	0.554387	0.558167	0.562780	0.561428	0.559183	0.569401	0.562550	0.569988
precision	0.789567	0.760265	0.770171	0.783963	0.757766	0.768545	0.769146	0.755918	0.771390	0.761709	0.782152	0.767009	0.760717	0.759180	0.782773	0.766380	0.777683	0.782712	0.767084	0.773473
f1score	0.564917	0.554646	0.561098	0.565942	0.545427	0.548009	0.560085	0.570033	0.557389	0.569926	0.557221	0.561360	0.545231	0.552082	0.556797	0.557158	0.552910	0.570268	0.556610	0.572559
mcc	0.275616	0.249555	0.262633	0.273110	0.237773	0.246774	0.262004	0.265524	0.258988	0.268461	0.264784	0.262592	0.238156	0.245566	0.266477	0.255837	0.256392	0.280147	0.258505	0.276694
spd0-0	0.034913	0.038447	0.040560	0.038074	0.034579	0.031546	0.038925	0.044987	0.037889	0.041581	0.036629	0.040721	0.031552	0.036428	0.037627	0.037729	0.035609	0.039284	0.039934	0.040236
spd0-1	0.047811	0.046016	0.045582	0.043822	0.044739	0.048740	0.049887	0.054024	0.046029	0.055815	0.044670	0.049420	0.046512	0.046214	0.046047	0.047314	0.042458	0.051146	0.049139	0.052764
spd0	0.012898	0.007568	0.005021	0.005748	0.010160	0.017194	0.010961	0.009036	0.008140	0.014234	0.008041	0.008699	0.014960	0.009786	0.008420	0.009585	0.006849	0.011861	0.009205	0.012528
aod0-0	0.138125	0.148377	0.160661	0.162022	0.129157	0.122746	0.155525	0.177619	0.143608	0.164548	0.140494	0.154471	0.121957	0.138846	0.144685	0.152130	0.142408	0.155698	0.150947	0.162141
aod0-1	0.178057	0.151084	0.150895	0.149430	0.149289	0.160213	0.158977	0.170868	0.160435	0.182366	0.158385	0.165883	0.153195	0.154503	0.156906	0.151633	0.142774	0.180198	0.159548	0.181708
aod0	0.019966	0.001353	0.004883	0.006296	0.010066	0.018734	0.001726	0.003375	0.008414	0.008909	0.008946	0.005706	0.015619	0.007828	0.006110	0.000248	0.000183	0.012250	0.004300	0.009784
