accuracy	0.824333	0.817889	0.820556	0.828222	0.815778	0.815333	0.815000	0.819667	0.819222	0.816556	0.820778	0.813667	0.820778	0.818556	0.812889	0.819222	0.821000	0.821111	0.813111	0.818778
recall	0.657384	0.657929	0.643110	0.667861	0.641367	0.673316	0.646842	0.661555	0.638916	0.634782	0.657950	0.639470	0.647537	0.638955	0.648629	0.667957	0.642584	0.649531	0.650775	0.664709
precision	0.757593	0.750713	0.770250	0.757662	0.763850	0.743867	0.755296	0.749950	0.772657	0.756198	0.764637	0.757505	0.770765	0.766020	0.757550	0.749109	0.775381	0.761256	0.760029	0.736652
f1score	0.683208	0.682185	0.668904	0.693570	0.665900	0.695076	0.671106	0.685765	0.664204	0.658676	0.683850	0.663251	0.673644	0.663907	0.672712	0.691495	0.668620	0.675221	0.675081	0.686743
mcc	0.402696	0.397969	0.393322	0.415939	0.386263	0.411174	0.387238	0.401899	0.389238	0.371649	0.408898	0.379021	0.399739	0.384526	0.391302	0.409094	0.396308	0.395302	0.396009	0.394861
spd0-0	0.112518	0.111663	0.092367	0.116603	0.099275	0.129894	0.109101	0.116232	0.092698	0.083722	0.105775	0.091484	0.095954	0.094120	0.109546	0.124283	0.090221	0.105312	0.114490	0.125508
spd0-1	0.124136	0.143659	0.115772	0.136839	0.112400	0.169205	0.119615	0.143782	0.105529	0.124553	0.135106	0.127278	0.119878	0.109131	0.124549	0.150014	0.113408	0.117663	0.120305	0.151591
spd0	0.011618	0.031996	0.023405	0.020237	0.013125	0.039311	0.010514	0.027550	0.012831	0.040831	0.029331	0.035794	0.023924	0.015012	0.015003	0.025731	0.023186	0.012352	0.005815	0.026084
aod0-0	0.411945	0.403426	0.355608	0.436987	0.363300	0.449112	0.398445	0.424299	0.350084	0.315875	0.385358	0.333753	0.360943	0.349007	0.391295	0.442369	0.349234	0.384438	0.402116	0.438992
aod0-1	0.415232	0.452319	0.374046	0.449583	0.366327	0.523100	0.374681	0.451521	0.349785	0.400007	0.441907	0.406973	0.393097	0.363267	0.393109	0.473964	0.368857	0.393793	0.386680	0.487865
aod0	0.001644	0.024447	0.009219	0.006298	0.001514	0.036994	0.011882	0.013611	0.000149	0.042066	0.028275	0.036610	0.016077	0.007130	0.000907	0.015798	0.009812	0.004678	0.007718	0.024437
eod0-0	0.365620	0.354781	0.324824	0.386406	0.327645	0.388007	0.355976	0.376106	0.317668	0.284816	0.343612	0.298520	0.325312	0.312334	0.348601	0.385791	0.318100	0.342382	0.356255	0.377838
eod0-1	0.361461	0.389330	0.324009	0.392133	0.317811	0.446290	0.320231	0.383079	0.308411	0.343750	0.387316	0.352208	0.346893	0.321799	0.338945	0.408578	0.325056	0.345324	0.337900	0.416567
eod0	0.004159	0.034549	0.000815	0.005728	0.009834	0.058283	0.035745	0.006973	0.009256	0.058934	0.043704	0.053688	0.021581	0.009466	0.009656	0.022787	0.006956	0.002942	0.018356	0.038728
spd1-0	0.110595	0.118611	0.098032	0.117654	0.098046	0.140753	0.108164	0.123407	0.092067	0.096023	0.113295	0.100098	0.099976	0.095040	0.111355	0.124406	0.094581	0.104060	0.113875	0.128965
spd1-1	0.180387	0.181265	0.137973	0.192308	0.170370	0.192714	0.163814	0.163095	0.153846	0.146277	0.161928	0.161557	0.162129	0.151106	0.158025	0.239596	0.148883	0.175711	0.146617	0.206468
spd1	0.069793	0.062654	0.039941	0.074653	0.072324	0.051961	0.055650	0.039688	0.061780	0.050253	0.048633	0.061458	0.062153	0.056065	0.046669	0.115190	0.054302	0.071650	0.032742	0.077502
aod1-0	0.400459	0.413534	0.354085	0.428024	0.348674	0.472844	0.379963	0.426597	0.335759	0.343417	0.403905	0.348708	0.366137	0.345891	0.386168	0.430813	0.349009	0.375249	0.391537	0.447375
aod1-1	0.523492	0.517200	0.434795	0.558135	0.492484	0.543867	0.455019	0.513783	0.462487	0.425927	0.460002	0.502446	0.452117	0.433479	0.444992	0.673694	0.434015	0.496867	0.430491	0.571264
aod1	0.061516	0.051833	0.040355	0.065056	0.071905	0.035511	0.037528	0.043593	0.063364	0.041255	0.028048	0.076869	0.042990	0.043794	0.029412	0.121440	0.042503	0.060809	0.019477	0.061945
eod1-0	0.355194	0.362613	0.316620	0.378186	0.310345	0.406827	0.335383	0.372967	0.301972	0.304077	0.359104	0.308159	0.329961	0.309915	0.342162	0.375914	0.316378	0.332952	0.345366	0.386853
