accuracy	0.819764	0.819764	0.816829	0.815464	0.817034	0.822016	0.817444	0.813963	0.811506	0.817307	0.818331	0.817307	0.816420	0.817444	0.818877	0.821402	0.816761	0.820924	0.817171	0.816966
recall	0.698407	0.701109	0.698453	0.692484	0.696872	0.704067	0.698726	0.693335	0.691876	0.695900	0.702404	0.694590	0.696931	0.693792	0.704978	0.702231	0.694457	0.701395	0.695199	0.695672
precision	0.758679	0.761947	0.761217	0.755806	0.756525	0.765677	0.759819	0.756521	0.756578	0.756364	0.761680	0.752280	0.755524	0.758043	0.759719	0.764197	0.762311	0.769745	0.759797	0.758991
f1score	0.719020	0.721843	0.719307	0.713302	0.717134	0.725147	0.719312	0.713996	0.712564	0.716345	0.722700	0.714462	0.716929	0.714967	0.724341	0.723331	0.716214	0.723668	0.716419	0.716638
mcc	0.453095	0.459042	0.455365	0.443795	0.449456	0.465686	0.454457	0.445397	0.443762	0.448205	0.460283	0.443131	0.448645	0.447242	0.461461	0.462293	0.451700	0.466155	0.450386	0.450232
spd0-0	0.066489	0.064677	0.062201	0.068902	0.075222	0.067941	0.065159	0.068816	0.069342	0.064410	0.069158	0.064677	0.060348	0.067144	0.069629	0.061503	0.066160	0.064105	0.067921	0.065222
spd0-1	0.214928	0.218334	0.219378	0.210908	0.212757	0.216463	0.218426	0.214082	0.213564	0.216026	0.221327	0.215383	0.221442	0.210278	0.226714	0.218241	0.210403	0.213877	0.211982	0.214315
spd0	0.148440	0.153657	0.157177	0.142006	0.137535	0.148522	0.153267	0.145266	0.144221	0.151617	0.152170	0.150706	0.161094	0.143134	0.157085	0.156738	0.144243	0.149772	0.144060	0.149093
aod0-0	0.345526	0.339695	0.327763	0.350621	0.384614	0.357949	0.335040	0.349956	0.349422	0.358964	0.362468	0.325660	0.308901	0.346335	0.376414	0.340426	0.340478	0.348213	0.364119	0.325530
aod0-1	0.590535	0.600326	0.593897	0.576216	0.582534	0.596678	0.594939	0.577577	0.574487	0.588908	0.600335	0.593586	0.604463	0.574381	0.614119	0.596746	0.571198	0.585779	0.576051	0.586610
aod0	0.122505	0.130316	0.133067	0.112798	0.098960	0.119364	0.129949	0.113811	0.112533	0.114972	0.118934	0.133963	0.147781	0.114023	0.118852	0.128160	0.115360	0.118783	0.105966	0.130540
eod0-0	0.307241	0.306011	0.294118	0.312614	0.342155	0.320463	0.298677	0.310345	0.311234	0.327808	0.324478	0.288425	0.276364	0.307241	0.340700	0.307385	0.302326	0.316456	0.327652	0.288355
eod0-1	0.496941	0.505081	0.498680	0.483271	0.489541	0.505874	0.500000	0.484509	0.481433	0.489956	0.504809	0.495694	0.504071	0.483860	0.512441	0.502846	0.483520	0.497335	0.484108	0.494118
