accuracy	0.678060	0.678522	0.690069	0.674827	0.660970	0.677598	0.672055	0.681755	0.658199	0.672517	0.686836	0.673903	0.686374	0.680831	0.548268	0.678522	0.687298	0.691917	0.681755	0.651732
recall	0.665633	0.672905	0.686363	0.664419	0.663072	0.666377	0.660693	0.670075	0.654961	0.662733	0.675264	0.662414	0.683441	0.672113	0.500000	0.670970	0.681066	0.681948	0.665384	0.644731
precision	0.682302	0.676304	0.687055	0.675215	0.659797	0.674892	0.670118	0.682256	0.654555	0.665911	0.685850	0.673263	0.685195	0.675699	0.274134	0.677549	0.687308	0.688661	0.688072	0.646945
f1score	0.664581	0.673557	0.686655	0.664434	0.658791	0.667294	0.661231	0.670391	0.654730	0.663729	0.676165	0.662674	0.683835	0.673145	0.354117	0.671479	0.681504	0.683256	0.663976	0.645324
mcc	0.347535	0.349193	0.373417	0.339462	0.322853	0.341162	0.330676	0.352120	0.309515	0.328628	0.360959	0.335501	0.368632	0.347793	0.000000	0.348457	0.368321	0.370548	0.352727	0.291668
spd0-0	0.625000	0.549425	0.541237	0.603438	0.483120	0.594145	0.602207	0.609241	0.517439	0.563824	0.595930	0.603175	0.531485	0.562427	1.000000	0.579370	0.576032	0.581034	0.650346	0.540448
spd0-1	0.791768	0.710588	0.620525	0.747619	0.606264	0.737589	0.726862	0.757282	0.670673	0.727273	0.759551	0.768080	0.663594	0.709534	1.000000	0.709524	0.696970	0.724706	0.799534	0.748815
spd0	0.166768	0.161163	0.079288	0.144181	0.123144	0.143444	0.124656	0.148040	0.153235	0.163449	0.163620	0.164905	0.132110	0.147107	0.000000	0.130154	0.120938	0.143671	0.149188	0.208368
aod0-0	1.233640	1.089243	1.069464	1.195069	0.933554	1.165586	1.188759	1.199808	1.016224	1.103722	1.174739	1.187080	1.062763	1.102284	2.000000	1.141405	1.137875	1.137289	1.280676	1.063815
aod0-1	1.514704	1.297900	1.105891	1.405893	1.109997	1.392682	1.356851	1.430229	1.256672	1.345533	1.415771	1.464781	1.212292	1.302549	2.000000	1.361757	1.319777	1.356364	1.533018	1.412941
aod0	0.140532	0.104329	0.018213	0.105412	0.088222	0.113548	0.084046	0.115210	0.120224	0.120906	0.120516	0.138851	0.074765	0.100133	0.000000	0.110176	0.090951	0.109537	0.126171	0.174563
eod0-0	0.783460	0.705357	0.717920	0.761062	0.622761	0.747583	0.751106	0.768649	0.660560	0.711395	0.758583	0.756959	0.710162	0.715066	1.000000	0.748634	0.750816	0.751346	0.810664	0.668467
eod0-1	0.895349	0.848921	0.748227	0.847273	0.732639	0.850746	0.837370	0.870229	0.770370	0.818815	0.873288	0.866142	0.789474	0.835017	1.000000	0.806202	0.823045	0.836364	0.889706	0.852941
eod0	0.111889	0.143564	0.030307	0.086211	0.109878	0.103163	0.086264	0.101580	0.109810	0.107420	0.114705	0.109182	0.079312	0.119951	0.000000	0.057568	0.072229	0.085018	0.079042	0.184475
spd1-0	0.634898	0.558058	0.508287	0.597587	0.486239	0.594633	0.603680	0.591421	0.526390	0.564583	0.597902	0.609599	0.521798	0.544755	1.000000	0.577247	0.558333	0.568807	0.658758	0.563114
spd1-1	0.699187	0.625000	0.654114	0.694444	0.550802	0.674232	0.672872	0.725437	0.586022	0.656552	0.691156	0.677503	0.634146	0.687075	1.000000	0.657220	0.677241	0.685829	0.721311	0.615697
spd1	0.064289	0.066942	0.145827	0.096858	0.064564	0.079600	0.069192	0.134017	0.059632	0.091968	0.093254	0.067904	0.112348	0.142320	0.000000	0.079973	0.118908	0.117022	0.062554	0.052583
aod1-0	1.263369	1.111012	0.996590	1.185356	0.948295	1.175386	1.192249	1.175847	1.034270	1.111287	1.178717	1.215059	1.048064	1.070458	2.000000	1.150062	1.110772	1.110859	1.301448	1.112543
aod1-1	1.321846	1.176418	1.250355	1.329332	1.015231	1.276528	1.287468	1.382770	1.108795	1.227429	1.314413	1.274031	1.190617	1.302569	2.000000	1.245889	1.299225	1.307877	1.378549	1.174563
aod1	0.029238	0.032703	0.126882	0.071988	0.033468	0.050571	0.047609	0.103462	0.037262	0.058071	0.067848	0.029486	0.071277	0.116056	0.000000	0.047913	0.094226	0.098509	0.038551	0.031010
eod1-0	0.789835	0.728155	0.693824	0.761379	0.637319	0.757123	0.765583	0.765517	0.664901	0.720685	0.769025	0.768034	0.706207	0.714475	1.000000	0.750347	0.748290	0.739474	0.817577	0.708725
eod1-1	0.837416	0.757174	0.781176	0.812775	0.665966	0.792208	0.782418	0.831169	0.720090	0.762313	0.816143	0.798337	0.769953	0.793478	1.000000	0.778761	0.795824	0.824324	0.847727	0.713024
eod1	0.047581	0.029019	0.087353	0.051396	0.028647	0.035084	0.016835	0.065652	0.055190	0.041628	0.047118	0.030303	0.063746	0.079003	0.000000	0.028414	0.047534	0.084851	0.030151	0.004299
wcspd-00	0.601876	0.535654	0.493692	0.575472	0.469828	0.573756	0.579268	0.567953	0.498291	0.536851	0.565812	0.585345	0.498339	0.518423	1.000000	0.555175	0.542048	0.538662	0.629060	0.531753
wcspd-01	0.671848	0.578292	0.642729	0.659758	0.510753	0.635417	0.648084	0.696970	0.556131	0.622061	0.660000	0.637417	0.607211	0.656307	1.000000	0.628472	0.647887	0.663837	0.694346	0.558719
wcspd-10	0.787402	0.666667	0.575290	0.703704	0.560311	0.692000	0.709434	0.713043	0.657371	0.699187	0.742308	0.728814	0.628788	0.661597	1.000000	0.678431	0.640167	0.699248	0.790875	0.714286
wcspd-11	0.798742	0.769231	0.693750	0.807910	0.668421	0.803468	0.752809	0.813187	0.690909	0.767442	0.783784	0.824242	0.717647	0.776596	1.000000	0.757576	0.783439	0.767296	0.813253	0.796610
wcspd	0.196867	0.233577	0.200058	0.232438	0.198593	0.229712	0.173541	0.245234	0.192618	0.230591	0.217972	0.238898	0.219308	0.258172	0.000000	0.202400	0.241391	0.228634	0.184193	0.264857
wcaod-00	1.211658	1.087402	0.990280	1.159961	0.931494	1.149768	1.163767	1.145064	0.995593	1.072631	1.135877	1.176966	1.024492	1.038283	2.000000	1.122502	1.093981	1.069526	1.256942	1.063262
wcaod-01	1.273887	1.096186	1.246206	1.268656	0.940096	1.198864	1.248779	1.325483	1.053427	1.174855	1.265983	1.209343	1.158065	1.250028	2.000000	1.186346	1.242541	1.270894	1.332587	1.070813
wcaod-10	1.521062	1.203681	1.014753	1.305138	1.016417	1.290176	1.320809	1.325761	1.225975	1.300872	1.387279	1.417924	1.166615	1.192755	2.000000	1.300894	1.196273	1.293667	1.524513	1.343157
wcaod-11	1.500516	1.422222	1.262181	1.547009	1.236258	1.541703	1.410456	1.565812	1.305789	1.426772	1.455966	1.526038	1.279374	1.459302	2.000000	1.456116	1.509622	1.461512	1.545338	1.516949
wcaod	0.154702	0.167410	0.135950	0.193524	0.152382	0.195968	0.123345	0.210374	0.155098	0.177070	0.160044	0.174536	0.127441	0.210509	0.000000	0.166807	0.207820	0.195993	0.144198	0.226843
wceod-00	0.765734	0.707143	0.686441	0.744268	0.623529	0.739206	0.748673	0.743103	0.642249	0.696160	0.745675	0.753954	0.694245	0.686747	1.000000	0.743363	0.738462	0.714286	0.800681	0.675127
wceod-01	0.812680	0.702381	0.777070	0.789318	0.621469	0.761364	0.755162	0.811594	0.692082	0.738235	0.781538	0.761644	0.738710	0.764179	1.000000	0.757143	0.772455	0.815249	0.828313	0.656716
wceod-10	0.878205	0.801242	0.719298	0.822785	0.686747	0.822785	0.820809	0.855172	0.744048	0.812500	0.847953	0.826087	0.745562	0.808140	1.000000	0.775641	0.787671	0.825581	0.878049	0.837662
wceod-11	0.921569	0.914530	0.792793	0.880342	0.795082	0.890909	0.862069	0.888889	0.813725	0.826772	0.909091	0.913793	0.853448	0.872000	1.000000	0.852941	0.876289	0.854369	0.907407	0.872881
wceod	0.155834	0.212149	0.106352	0.136074	0.173613	0.151704	0.113396	0.145785	0.171477	0.130611	0.163416	0.159839	0.159204	0.185253	0.000000	0.109578	0.137827	0.140083	0.106726	0.216165
