accuracy	0.804556	0.795444	0.797333	0.807444	0.788222	0.788778	0.792667	0.798889	0.795333	0.798556	0.795333	0.794778	0.793444	0.795333	0.790889	0.795000	0.796556	0.800333	0.787000	0.804111
recall	0.561415	0.557607	0.558414	0.561358	0.544728	0.546927	0.554277	0.565987	0.556303	0.561284	0.556467	0.562952	0.550904	0.554080	0.558624	0.553848	0.556615	0.560751	0.554441	0.562423
precision	0.786494	0.759984	0.772532	0.790747	0.754887	0.761764	0.771397	0.752894	0.768948	0.758467	0.784722	0.768737	0.768546	0.764056	0.782423	0.765623	0.779673	0.779275	0.766401	0.770655
f1score	0.558141	0.550941	0.552019	0.558696	0.527752	0.531231	0.544022	0.565516	0.548255	0.557770	0.547598	0.558651	0.538888	0.544948	0.549816	0.544374	0.548493	0.556228	0.542883	0.560430
mcc	0.265294	0.244760	0.252346	0.267130	0.213547	0.221665	0.242740	0.258361	0.246111	0.251713	0.253593	0.260135	0.233837	0.238998	0.257345	0.239192	0.251664	0.260509	0.240857	0.259962
spd0-0	0.031295	0.035872	0.033739	0.031851	0.022867	0.021525	0.027412	0.042233	0.032187	0.033377	0.029714	0.038304	0.025612	0.030325	0.032994	0.028851	0.032288	0.030616	0.030408	0.032669
spd0-1	0.047811	0.046016	0.045582	0.044105	0.044739	0.048740	0.049887	0.054305	0.046029	0.055815	0.044670	0.049420	0.046512	0.046214	0.046047	0.047593	0.042458	0.051146	0.049139	0.052485
spd0	0.016516	0.010144	0.011843	0.012255	0.021872	0.027215	0.022474	0.012072	0.013842	0.022438	0.014956	0.011116	0.020899	0.015888	0.013054	0.018741	0.010170	0.020530	0.018730	0.019816
aod0-0	0.122607	0.138514	0.135856	0.139507	0.085867	0.082241	0.113282	0.166304	0.121088	0.132310	0.114977	0.146326	0.102632	0.118063	0.127147	0.118295	0.130261	0.120963	0.116172	0.131668
aod0-1	0.178057	0.151084	0.150895	0.150622	0.149289	0.160213	0.158977	0.171238	0.160435	0.182366	0.158385	0.165883	0.153195	0.154503	0.156906	0.152002	0.142774	0.180198	0.159548	0.180508
aod0	0.027725	0.006285	0.007520	0.005557	0.031711	0.038986	0.022847	0.002467	0.019674	0.025028	0.021704	0.009778	0.025281	0.018220	0.014880	0.016854	0.006256	0.029618	0.021688	0.024420
eod0-0	0.112565	0.126005	0.126761	0.132216	0.078498	0.074956	0.107481	0.153097	0.109661	0.122192	0.105727	0.134030	0.095365	0.108252	0.117897	0.110612	0.120968	0.112084	0.107705	0.121708
eod0-1	0.164987	0.133939	0.132867	0.134684	0.131548	0.142857	0.137572	0.145711	0.146028	0.158565	0.146093	0.148358	0.135593	0.137255	0.142536	0.132054	0.128668	0.163070	0.140411	0.160864
eod0	0.052422	0.007933	0.006107	0.002468	0.053050	0.067901	0.030092	0.007386	0.036367	0.036373	0.040366	0.014328	0.040228	0.029003	0.024640	0.021443	0.007700	0.050985	0.032706	0.039157
spd1-0	0.036702	0.038151	0.037037	0.035872	0.030891	0.031783	0.035199	0.046446	0.036974	0.041828	0.035038	0.040604	0.034180	0.035304	0.038217	0.034848	0.035148	0.037807	0.037186	0.039776
spd1-1	0.047215	0.057178	0.052503	0.044471	0.039506	0.038778	0.046455	0.052381	0.044471	0.049202	0.043263	0.063679	0.032178	0.050369	0.038272	0.051702	0.048387	0.049096	0.043860	0.048507
spd1	0.010514	0.019026	0.015466	0.008599	0.008615	0.006995	0.011256	0.005935	0.007498	0.007374	0.008225	0.023076	0.002001	0.015064	0.000054	0.016854	0.013239	0.011289	0.006674	0.008732
