accuracy	0.645266	0.655427	0.681755	0.640185	0.654042	0.669284	0.642494	0.649423	0.644804	0.642494	0.649423	0.494688	0.658661	0.658199	0.646651	0.638799	0.645727	0.640647	0.644804	0.641109
recall	0.624176	0.642173	0.674407	0.620659	0.645300	0.658971	0.618719	0.629787	0.633485	0.621017	0.625553	0.494660	0.652857	0.639484	0.630590	0.625835	0.631699	0.619050	0.620014	0.629548
precision	0.665381	0.659320	0.679079	0.651753	0.646273	0.665577	0.654615	0.658057	0.640078	0.636158	0.662490	0.494711	0.658773	0.655919	0.648387	0.640349	0.656145	0.641520	0.662541	0.636205
f1score	0.611182	0.639358	0.675268	0.610894	0.645710	0.659826	0.608144	0.623115	0.633757	0.619795	0.616083	0.493497	0.652511	0.638696	0.627409	0.622565	0.624566	0.614184	0.607183	0.629701
mcc	0.286609	0.301005	0.353455	0.270631	0.291571	0.324481	0.270966	0.286452	0.273483	0.256728	0.285665	-0.010629	0.311574	0.294946	0.278409	0.265788	0.286804	0.259600	0.279337	0.265670
spd0-0	0.726598	0.646552	0.561283	0.701433	0.546566	0.574627	0.724158	0.681689	0.586049	0.642816	0.717442	0.506236	0.570768	0.636523	0.648009	0.635530	0.677219	0.670690	0.732143	0.582329
spd0-1	0.861985	0.760000	0.727924	0.847619	0.718121	0.770686	0.826185	0.861650	0.764423	0.825359	0.840449	0.471322	0.723502	0.807095	0.803241	0.790476	0.805556	0.849412	0.869464	0.786730
spd0	0.135387	0.113448	0.166641	0.146186	0.171555	0.196059	0.102027	0.179962	0.178374	0.182543	0.123008	0.034914	0.152734	0.170573	0.155232	0.154946	0.128337	0.178722	0.137321	0.204401
aod0-0	1.440922	1.284667	1.110380	1.394669	1.063704	1.127318	1.436644	1.349517	1.155927	1.267435	1.422626	1.014058	1.141364	1.254490	1.279591	1.257798	1.344047	1.325102	1.449184	1.149133
aod0-1	1.673468	1.440758	1.348035	1.617304	1.354036	1.472123	1.584932	1.657048	1.464028	1.592122	1.607507	0.921769	1.361168	1.531987	1.558938	1.553259	1.562092	1.649091	1.705250	1.504657
aod0	0.116273	0.078045	0.118828	0.111317	0.145166	0.172403	0.074144	0.153766	0.154051	0.162343	0.092441	0.046145	0.109902	0.138748	0.139673	0.147730	0.109022	0.161994	0.128033	0.177762
eod0-0	0.845484	0.783482	0.726770	0.810841	0.672287	0.722879	0.835177	0.800000	0.710129	0.755059	0.833887	0.493576	0.720554	0.762009	0.772826	0.765027	0.805223	0.782562	0.853101	0.698704
eod0-1	0.937984	0.848921	0.829787	0.934545	0.819444	0.865672	0.903114	0.950382	0.840741	0.874564	0.921233	0.500000	0.817544	0.895623	0.880150	0.837209	0.888889	0.909091	0.915441	0.871324
eod0	0.092500	0.065439	0.103017	0.123705	0.147158	0.142793	0.067937	0.150382	0.130611	0.119506	0.087346	0.006424	0.096990	0.133614	0.107324	0.072182	0.083666	0.126529	0.062340	0.172619
spd1-0	0.723896	0.633357	0.538674	0.703336	0.512350	0.559322	0.712668	0.663150	0.569317	0.628472	0.690909	0.499284	0.553134	0.631469	0.628815	0.621489	0.642361	0.647142	0.711096	0.583450
spd1-1	0.807588	0.736559	0.704324	0.779101	0.713904	0.714286	0.805851	0.816958	0.717742	0.776552	0.843537	0.500650	0.703013	0.751020	0.772487	0.750337	0.816552	0.816845	0.853825	0.696888
spd1	0.083692	0.103202	0.165650	0.075765	0.201554	0.154964	0.093183	0.153808	0.148425	0.148080	0.152628	0.001367	0.149879	0.119552	0.143672	0.128849	0.174191	0.169703	0.142730	0.113437
aod1-0	1.443062	1.262538	1.057947	1.399968	1.003646	1.105109	1.413821	1.321247	1.123915	1.244270	1.369619	0.998752	1.110109	1.247357	1.248180	1.239820	1.280459	1.276921	1.410206	1.155001
aod1-1	1.557972	1.414943	1.360782	1.507994	1.358193	1.367860	1.573893	1.578754	1.376870	1.490049	1.642272	1.002433	1.350285	1.445692	1.500190	1.450952	1.596272	1.593943	1.668120	1.343105
aod1	0.057455	0.076202	0.151417	0.054013	0.177274	0.131375	0.080036	0.128754	0.126478	0.122889	0.136327	0.001840	0.120088	0.099167	0.126005	0.105566	0.157906	0.158511	0.128957	0.094052
eod1-0	0.837912	0.772538	0.718791	0.815172	0.643890	0.717775	0.836043	0.788966	0.679470	0.739130	0.813084	0.492221	0.711724	0.770252	0.759945	0.744799	0.779754	0.757895	0.829561	0.710067
eod1-1	0.910913	0.841060	0.809412	0.878855	0.806723	0.813853	0.876923	0.902597	0.841986	0.854390	0.926009	0.498960	0.800469	0.834783	0.855895	0.838496	0.895592	0.903153	0.931818	0.783664
eod1	0.073001	0.068521	0.090621	0.063682	0.162833	0.096078	0.040880	0.113632	0.162516	0.115259	0.112925	0.006740	0.088745	0.064530	0.095950	0.093697	0.115838	0.145258	0.102258	0.073597
spd2-0	0.708942	0.614328	0.534071	0.687575	0.518757	0.556792	0.700236	0.670225	0.567393	0.617664	0.695780	0.496119	0.554715	0.620628	0.629433	0.596899	0.660138	0.663920	0.719577	0.565348
spd2-1	0.916300	0.855102	0.821429	0.873727	0.816993	0.822757	0.907923	0.876827	0.813305	0.891213	0.917211	0.512245	0.780761	0.853556	0.856237	0.901639	0.864802	0.858369	0.905172	0.812877
spd2	0.207357	0.240774	0.287358	0.186152	0.298236	0.265966	0.207687	0.206601	0.245912	0.273549	0.221432	0.016125	0.226046	0.232928	0.226804	0.304740	0.204664	0.194449	0.185596	0.247530
aod2-0	1.415138	1.227476	1.059253	1.373835	1.019190	1.102837	1.393251	1.336525	1.127711	1.224220	1.386115	0.992360	1.115457	1.230037	1.255925	1.188404	1.316769	1.321194	1.430452	1.124507
aod2-1	1.778440	1.648763	1.551989	1.660873	1.542022	1.540199	1.778277	1.659243	1.537646	1.709292	1.796296	1.039370	1.459830	1.601131	1.637739	1.758022	1.660805	1.618284	1.760034	1.525566
aod2	0.181651	0.210644	0.246368	0.143519	0.261416	0.218681	0.192513	0.161359	0.204967	0.242536	0.205090	0.023505	0.172187	0.185547	0.190907	0.284809	0.172018	0.148545	0.164791	0.200529
eod2-0	0.831214	0.755054	0.699205	0.796912	0.644347	0.699435	0.819222	0.786464	0.686499	0.722348	0.822044	0.493582	0.701546	0.741203	0.752336	0.716453	0.785227	0.767123	0.836549	0.674446
eod2-1	0.961538	0.909910	0.901639	0.946588	0.880368	0.910828	0.940439	0.954545	0.882716	0.941176	0.944444	0.498489	0.861290	0.936747	0.912387	0.955696	0.939716	0.929878	0.954839	0.897361
eod2	0.130325	0.154856	0.202434	0.149675	0.236021	0.211393	0.121217	0.168081	0.196217	0.218829	0.122401	0.004907	0.159745	0.195544	0.160050	0.239243	0.154489	0.162755	0.118289	0.222915
wcspd-000	0.645791	0.558974	0.458084	0.632911	0.424947	0.465839	0.643533	0.584189	0.495346	0.533742	0.613472	0.498960	0.483744	0.545829	0.558237	0.516736	0.582677	0.571278	0.629863	0.497431
wcspd-010	0.748166	0.661290	0.590909	0.710327	0.598985	0.619753	0.744361	0.734748	0.619048	0.684073	0.786260	0.504854	0.632708	0.664850	0.678481	0.649485	0.757353	0.748184	0.817284	0.567204
wcspd-100	0.877273	0.742857	0.696833	0.823529	0.629956	0.729358	0.814159	0.821429	0.712264	0.822115	0.805556	0.505263	0.685185	0.812500	0.757009	0.780822	0.745098	0.806034	0.852018	0.765854
wcspd-110	0.787037	0.694915	0.691667	0.808000	0.748201	0.764706	0.786885	0.884892	0.719008	0.737288	0.848485	0.423423	0.684211	0.728000	0.792308	0.736842	0.861111	0.850467	0.852459	0.771186
wcspd-001	0.894472	0.837438	0.716578	0.853211	0.714953	0.770000	0.893401	0.839450	0.694581	0.814815	0.878049	0.510101	0.698413	0.790816	0.772947	0.882629	0.794595	0.759804	0.876712	0.740385
wcspd-011	0.941176	0.863158	0.907104	0.857143	0.902439	0.853801	0.925714	0.902174	0.877778	0.958824	0.974522	0.541667	0.837662	0.900000	0.915730	0.930851	0.937500	0.920455	0.925466	0.873684
wcspd-101	0.970588	0.878788	0.868421	0.948718	0.933333	0.906250	0.897436	0.882353	0.974359	0.947368	0.954545	0.434783	0.854167	0.923077	0.914286	0.888889	0.971429	1.000000	0.950000	0.925000
wcspd-111	0.882353	0.875000	0.875000	0.961538	0.901961	0.870370	0.910714	0.953488	0.954545	0.944444	0.867925	0.481481	0.839286	0.873016	0.943396	0.882353	0.816327	0.942308	0.931818	0.796610
wcspd	0.324798	0.319814	0.449020	0.328627	0.508386	0.440411	0.282181	0.369299	0.479013	0.425081	0.361051	0.118243	0.370423	0.377248	0.385159	0.414115	0.388751	0.428722	0.320137	0.427569
wcaod-000	1.308682	1.144602	0.936984	1.282116	0.859184	0.949227	1.304949	1.186147	1.001754	1.078144	1.245358	0.995475	1.005517	1.108019	1.132324	1.052288	1.182244	1.151546	1.276033	1.006987
wcaod-010	1.472106	1.306513	1.175080	1.404539	1.158791	1.200967	1.472097	1.447115	1.219958	1.347019	1.555830	1.010380	1.249624	1.304918	1.345689	1.271620	1.495924	1.482760	1.614493	1.120035
wcaod-100	1.721846	1.411963	1.302910	1.594355	1.191077	1.390944	1.577800	1.578953	1.383127	1.610146	1.555556	0.997080	1.331306	1.549639	1.480108	1.547797	1.445238	1.574224	1.682809	1.475906
wcaod-110	1.522440	1.356643	1.334642	1.566667	1.438898	1.504902	1.534383	1.727922	1.409895	1.378657	1.641271	0.810811	1.303906	1.394981	1.552606	1.437500	1.685133	1.673692	1.668919	1.493760
wcaod-001	1.743795	1.656162	1.358266	1.648494	1.360425	1.456456	1.766230	1.611908	1.344479	1.572059	1.724886	1.033058	1.344783	1.481314	1.500394	1.739236	1.522523	1.426471	1.724412	1.390476
wcaod-011	1.823633	1.607860	1.762295	1.629754	1.712724	1.600000	1.820784	1.700885	1.651619	1.862545	1.935945	1.100840	1.587971	1.698413	1.730405	1.795625	1.821818	1.755372	1.773585	1.659148
wcaod-101	1.960000	1.500000	1.506912	1.600000	1.760000	1.628205	1.500000	1.600000	1.857143	1.824885	1.750000	0.825893	1.393162	1.666667	1.733333	1.687273	1.961538	2.000000	1.833333	1.766667
wcaod-111	1.718182	1.785822	1.441176	1.876190	1.756410	1.714286	1.820202	1.869697	1.777778	1.931818	1.699134	1.035714	1.693878	1.706117	1.923077	1.794444	1.614286	1.871795	1.841176	1.487302
wcaod	0.325659	0.320610	0.412655	0.297037	0.450408	0.382529	0.257917	0.341775	0.427694	0.426837	0.345293	0.145015	0.344180	0.299049	0.395376	0.371669	0.389647	0.424227	0.282572	0.379840
wceod-000	0.763920	0.712018	0.648305	0.730858	0.551648	0.615894	0.783296	0.693694	0.610022	0.639309	0.744395	0.479911	0.652370	0.672566	0.698661	0.654628	0.717300	0.674779	0.774049	0.606987
wceod-010	0.869955	0.777778	0.713542	0.820755	0.689655	0.732759	0.825688	0.831731	0.754717	0.777251	0.890995	0.502183	0.726368	0.741627	0.761905	0.751152	0.843750	0.845455	0.901786	0.643564
wceod-100	0.946565	0.830882	0.821429	0.919355	0.737589	0.856061	0.887324	0.925620	0.764706	0.875969	0.888889	0.556604	0.761538	0.915493	0.846774	0.809160	0.850000	0.878571	0.889706	0.870968
wceod-110	0.935484	0.818182	0.753247	0.906667	0.867470	0.838235	0.887324	0.964286	0.835821	0.807229	0.962025	0.459459	0.835821	0.820513	0.891892	0.833333	0.967742	0.906250	0.918919	0.849315
wceod-001	0.967480	0.882353	0.822034	0.941176	0.792857	0.888889	0.926230	0.941176	0.757812	0.897059	0.916667	0.487603	0.805310	0.899225	0.850394	0.959016	0.927928	0.852941	0.914286	0.857143
wceod-011	0.975806	0.934783	0.959016	0.928000	0.950820	0.933333	0.950413	0.956204	0.945736	0.984496	0.982456	0.529412	0.899083	0.976190	0.962963	0.977444	0.981818	0.991736	1.000000	0.939850
wceod-101	0.960000	1.000000	0.935484	1.000000	0.960000	0.961538	1.000000	1.000000	1.000000	0.967742	1.000000	0.468750	0.948718	1.000000	0.933333	0.960000	0.961538	1.000000	1.000000	0.966667
wceod-111	0.900000	0.862745	0.941176	0.976190	0.923077	0.880952	0.911111	0.969697	1.000000	0.931818	0.880952	0.452381	0.836735	0.893617	0.923077	0.861111	0.828571	0.948718	0.941176	0.844444
wceod	0.211887	0.287982	0.310711	0.269142	0.408352	0.345644	0.216704	0.306306	0.389978	0.345187	0.255605	0.104223	0.296348	0.327434	0.264302	0.322816	0.264519	0.325221	0.225951	0.359680
