accuracy	0.639261	0.648961	0.659122	0.630023	0.651732	0.660970	0.643880	0.643880	0.643880	0.646651	0.661894	0.640185	0.645266	0.647575	0.640647	0.645266	0.636490	0.659584	0.649423	0.638799
recall	0.615403	0.627953	0.637882	0.607012	0.620668	0.633561	0.621024	0.618881	0.619390	0.618579	0.638500	0.615874	0.629460	0.618815	0.615842	0.623947	0.617841	0.634922	0.624961	0.612506
precision	0.668714	0.673801	0.675500	0.648808	0.651680	0.685820	0.654189	0.666475	0.654242	0.646903	0.677795	0.657642	0.675715	0.657336	0.661087	0.671341	0.661842	0.670942	0.667926	0.651770
f1score	0.596063	0.613830	0.629413	0.590056	0.615692	0.621516	0.611841	0.603618	0.609780	0.613278	0.630507	0.602075	0.612789	0.609254	0.600671	0.608311	0.600720	0.628092	0.613022	0.599908
mcc	0.279070	0.298250	0.311116	0.252382	0.270576	0.315076	0.273208	0.281359	0.271403	0.263967	0.313845	0.270308	0.301649	0.273452	0.273208	0.291460	0.276200	0.303736	0.289718	0.261343
spd0-0	0.765982	0.737356	0.718786	0.750716	0.713620	0.753157	0.724739	0.748431	0.724414	0.705209	0.719767	0.744331	0.740035	0.733372	0.747836	0.748997	0.741662	0.720115	0.736751	0.736087
spd0-1	0.857143	0.849412	0.804296	0.838095	0.816555	0.834515	0.781038	0.864078	0.817308	0.820574	0.815730	0.832918	0.829493	0.827051	0.849537	0.833333	0.856061	0.795294	0.836830	0.850711
spd0	0.091161	0.112055	0.085510	0.087379	0.102934	0.081358	0.056300	0.115646	0.092894	0.115365	0.095963	0.088587	0.089458	0.093679	0.101701	0.084336	0.114399	0.075179	0.100079	0.114624
aod0-0	1.520161	1.467195	1.427942	1.494028	1.402138	1.487432	1.437401	1.484615	1.433837	1.392839	1.425774	1.474603	1.479918	1.451210	1.480510	1.485272	1.474189	1.421433	1.458297	1.458288
aod0-1	1.673443	1.625532	1.514055	1.606019	1.568789	1.610953	1.491462	1.652316	1.580112	1.564407	1.551168	1.618726	1.589827	1.571669	1.663943	1.627620	1.663762	1.526061	1.624157	1.642794
aod0	0.076641	0.079169	0.043056	0.055995	0.083325	0.061761	0.027030	0.083850	0.073137	0.085784	0.062697	0.072061	0.054954	0.060230	0.091717	0.071174	0.094786	0.052314	0.082930	0.092253
