accuracy	0.628176	0.638337	0.650808	0.648037	0.657737	0.648037	0.634642	0.647575	0.639723	0.656813	0.653580	0.646651	0.630023	0.652656	0.655427	0.639261	0.630023	0.652194	0.639723	0.639261
recall	0.602038	0.613910	0.623162	0.623884	0.621212	0.617861	0.607210	0.621440	0.610549	0.623189	0.625922	0.619221	0.611897	0.620750	0.628421	0.614051	0.609224	0.622712	0.611842	0.609035
precision	0.663384	0.675802	0.691346	0.680221	0.669288	0.677468	0.654402	0.676693	0.662008	0.670829	0.681008	0.679894	0.670059	0.672919	0.693175	0.684782	0.664411	0.674511	0.666483	0.665305
f1score	0.575602	0.590788	0.602463	0.606023	0.611625	0.599893	0.589774	0.604296	0.593078	0.613062	0.610904	0.599909	0.586277	0.607408	0.610263	0.587949	0.585438	0.608944	0.592790	0.589467
mcc	0.258235	0.283024	0.307028	0.298841	0.286494	0.289251	0.257320	0.292969	0.267656	0.290132	0.301946	0.292897	0.275891	0.288998	0.315009	0.290341	0.268013	0.292674	0.272908	0.268507
spd0-0	0.805365	0.794253	0.802405	0.776504	0.770081	0.788175	0.780488	0.773531	0.782161	0.759015	0.775000	0.788549	0.782207	0.767795	0.785920	0.808596	0.783493	0.770690	0.786866	0.786001
spd0-1	0.820823	0.816471	0.794749	0.804762	0.785235	0.813239	0.776524	0.820388	0.798077	0.815789	0.795506	0.812968	0.838710	0.822616	0.817130	0.821429	0.825758	0.800000	0.799534	0.831754
spd0	0.015458	0.022218	0.007656	0.028258	0.015153	0.025064	0.003964	0.046857	0.015916	0.056774	0.020506	0.024419	0.056503	0.054822	0.031209	0.012833	0.042264	0.029310	0.012667	0.045752
aod0-0	1.600859	1.581743	1.595963	1.544139	1.516190	1.559310	1.550458	1.534083	1.550397	1.499507	1.537390	1.562408	1.564283	1.519656	1.555396	1.605985	1.558510	1.524303	1.560165	1.558003
aod0-1	1.586972	1.559145	1.499871	1.529028	1.483556	1.577371	1.478475	1.566514	1.537900	1.544990	1.511013	1.575767	1.613470	1.558682	1.583725	1.592162	1.602275	1.536364	1.546483	1.610392
aod0	0.006944	0.011299	0.048046	0.007555	0.016317	0.009031	0.035991	0.016216	0.006249	0.022742	0.013189	0.006680	0.024593	0.019513	0.014164	0.006911	0.021883	0.006030	0.006841	0.026194
eod0-0	0.900979	0.904018	0.922566	0.894912	0.872497	0.903330	0.880531	0.884324	0.889009	0.873269	0.894795	0.905782	0.894919	0.875546	0.910870	0.918033	0.887922	0.888052	0.895539	0.890929
eod0-1	0.903101	0.899281	0.879433	0.894545	0.892361	0.880597	0.861592	0.919847	0.866667	0.888502	0.883562	0.881890	0.908772	0.915825	0.898876	0.906977	0.909465	0.876364	0.871324	0.897059
eod0	0.002121	0.004737	0.043134	0.000366	0.019864	0.022733	0.018939	0.035523	0.022342	0.015232	0.011233	0.023892	0.013853	0.040279	0.011993	0.011056	0.021543	0.011688	0.024215	0.006130
spd1-0	0.784163	0.781140	0.787983	0.773598	0.750882	0.780367	0.769285	0.762307	0.767769	0.737500	0.761538	0.772206	0.778610	0.758741	0.767211	0.795646	0.780556	0.748765	0.775297	0.781206
spd1-1	0.855014	0.831989	0.827057	0.797619	0.815508	0.817089	0.799202	0.820996	0.818548	0.834483	0.813605	0.830949	0.824964	0.819048	0.838624	0.840756	0.812414	0.828877	0.816940	0.821380
spd1	0.070851	0.050849	0.039074	0.024021	0.064626	0.036722	0.029917	0.058689	0.050779	0.096983	0.052067	0.058743	0.046354	0.060306	0.071414	0.045110	0.031858	0.080112	0.041643	0.040174
aod1-0	1.563987	1.559001	1.562896	1.540075	1.483765	1.551246	1.528672	1.519664	1.522912	1.461383	1.510864	1.541381	1.560078	1.504711	1.525456	1.588404	1.557485	1.478977	1.540388	1.551816
aod1-1	1.672914	1.613459	1.612853	1.544374	1.568277	1.578080	1.557058	1.589430	1.588767	1.607739	1.577110	1.602947	1.606205	1.579249	1.625773	1.632874	1.591474	1.617325	1.584869	1.602911
aod1	0.054464	0.027229	0.024978	0.002150	0.042256	0.013417	0.014193	0.034883	0.032927	0.073178	0.033123	0.030783	0.023064	0.037269	0.050159	0.022235	0.016994	0.069174	0.022241	0.025548
eod1-0	0.888736	0.890430	0.909330	0.892414	0.863338	0.891452	0.875339	0.885517	0.862252	0.856390	0.883845	0.888260	0.896552	0.872510	0.891632	0.908460	0.897401	0.867105	0.876165	0.893960
eod1-1	0.922049	0.922737	0.917647	0.898678	0.899160	0.909091	0.876923	0.902597	0.920993	0.910064	0.905830	0.918919	0.901408	0.906522	0.934498	0.926991	0.883991	0.916667	0.913636	0.889625
eod1	0.033313	0.032307	0.008317	0.006265	0.035822	0.017639	0.001584	0.017080	0.058742	0.053674	0.021984	0.030659	0.004857	0.034012	0.042865	0.018531	0.013410	0.049561	0.037471	0.004335
spd2-0	0.811222	0.798806	0.792662	0.783751	0.771395	0.782787	0.767962	0.780546	0.785168	0.759336	0.770809	0.794627	0.800931	0.775934	0.792553	0.809779	0.796083	0.773985	0.791887	0.796163
spd2-1	0.797357	0.797959	0.832589	0.775967	0.779956	0.831510	0.822270	0.789144	0.785408	0.807531	0.810458	0.787755	0.765101	0.790795	0.790698	0.815574	0.771562	0.785408	0.780172	0.790744
