accuracy	0.624480	0.614319	0.627714	0.618014	0.641570	0.643418	0.621247	0.624018	0.627714	0.628176	0.618938	0.626328	0.619400	0.633256	0.622171	0.604619	0.617090	0.636490	0.627252	0.617552
recall	0.598396	0.587989	0.597269	0.594492	0.599932	0.613892	0.590482	0.591676	0.597803	0.591297	0.586680	0.598067	0.600790	0.597109	0.594042	0.574770	0.594993	0.603762	0.596766	0.585630
precision	0.656976	0.647290	0.668965	0.633260	0.656522	0.667662	0.645817	0.672342	0.646095	0.635302	0.644853	0.651511	0.657126	0.656432	0.645824	0.657267	0.652166	0.662061	0.658082	0.636592
f1score	0.571702	0.556451	0.566597	0.575382	0.582052	0.596680	0.564251	0.555693	0.577709	0.574011	0.557978	0.574749	0.572219	0.574418	0.569861	0.527005	0.565502	0.582587	0.570331	0.560000
mcc	0.248562	0.227683	0.256399	0.224428	0.250132	0.276372	0.229728	0.251393	0.239070	0.222285	0.224106	0.243788	0.251688	0.246504	0.234210	0.216877	0.240456	0.259351	0.247361	0.216300
spd0-0	0.800799	0.814368	0.824170	0.771347	0.796857	0.771527	0.807782	0.836281	0.787307	0.774471	0.816860	0.798186	0.796072	0.799883	0.792845	0.859026	0.798756	0.795402	0.811060	0.806081
spd0-1	0.835351	0.837647	0.842482	0.776190	0.841163	0.848700	0.821670	0.876214	0.805288	0.856459	0.829213	0.805486	0.817972	0.855876	0.831019	0.880952	0.848485	0.835294	0.825175	0.817536
spd0	0.034552	0.023279	0.018313	0.004844	0.044307	0.077173	0.013889	0.039933	0.017981	0.081989	0.012353	0.007300	0.021901	0.055993	0.038174	0.021927	0.049728	0.039892	0.014115	0.011454
aod0-0	1.592154	1.623625	1.641664	1.536337	1.574775	1.527366	1.606984	1.662754	1.562623	1.535858	1.626333	1.585037	1.592029	1.586803	1.574448	1.710666	1.590275	1.576698	1.610622	1.601563
aod0-1	1.617954	1.613958	1.604571	1.472351	1.604167	1.641502	1.574979	1.697048	1.552156	1.641567	1.568605	1.552493	1.565878	1.646705	1.613143	1.730405	1.651416	1.612121	1.600389	1.582353
aod0	0.012900	0.004833	0.018546	0.031993	0.014696	0.057068	0.016003	0.017147	0.005234	0.052855	0.028864	0.016272	0.013076	0.029951	0.019347	0.009870	0.030571	0.017712	0.005117	0.009605
eod0-0	0.892274	0.897321	0.914823	0.856195	0.877766	0.877551	0.889381	0.920000	0.879310	0.855165	0.887043	0.888651	0.894919	0.887555	0.878261	0.931148	0.887922	0.892357	0.903156	0.885529
eod0-1	0.914729	0.906475	0.918440	0.865455	0.937500	0.925373	0.899654	0.950382	0.874074	0.916376	0.928082	0.885827	0.894737	0.925926	0.910112	0.934109	0.925926	0.905455	0.893382	0.882353
eod0	0.022454	0.009153	0.003617	0.009260	0.059734	0.047822	0.010273	0.030382	0.005236	0.061211	0.041039	0.002824	0.000182	0.038371	0.031851	0.002961	0.038004	0.013097	0.009773	0.003176
spd1-0	0.783462	0.805067	0.825967	0.774308	0.787579	0.775424	0.813871	0.824191	0.769177	0.779861	0.812587	0.787966	0.791553	0.797203	0.776437	0.864466	0.795139	0.782639	0.806699	0.807153
spd1-1	0.853659	0.845430	0.831241	0.768519	0.840909	0.807744	0.804521	0.881561	0.831989	0.811034	0.832653	0.820546	0.819225	0.839456	0.845238	0.860999	0.833103	0.842246	0.827869	0.810555
spd1	0.070197	0.040363	0.005274	0.005790	0.053330	0.032320	0.009350	0.057370	0.062813	0.031173	0.020066	0.032581	0.027672	0.042253	0.068801	0.003468	0.037965	0.059607	0.021170	0.003402
aod1-0	1.562955	1.607490	1.642105	1.543686	1.559668	1.541516	1.619476	1.644534	1.526446	1.550202	1.617260	1.573644	1.585650	1.583864	1.546452	1.727131	1.587105	1.549561	1.603676	1.606274
aod1-1	1.666988	1.655197	1.625270	1.490373	1.634979	1.562929	1.571695	1.727265	1.626250	1.566132	1.625553	1.583528	1.596816	1.633794	1.651930	1.684777	1.638169	1.650219	1.620330	1.585251
aod1	0.052016	0.023854	0.008418	0.026657	0.037656	0.010707	0.023891	0.041366	0.049902	0.007965	0.004147	0.004942	0.005583	0.024965	0.052739	0.021177	0.025532	0.050329	0.008327	0.010511
eod1-0	0.879121	0.893204	0.917214	0.856552	0.884363	0.884668	0.902439	0.920000	0.858278	0.862978	0.891856	0.875530	0.896552	0.891102	0.865569	0.934813	0.897401	0.882895	0.902796	0.892617
eod1-1	0.926503	0.909492	0.912941	0.861233	0.903361	0.893939	0.874725	0.937229	0.911964	0.880086	0.905830	0.906445	0.892019	0.906522	0.917031	0.926991	0.893271	0.916667	0.897727	0.871965
eod1	0.047382	0.016288	0.004273	0.004682	0.018999	0.009272	0.027714	0.017229	0.053686	0.017108	0.013974	0.030914	0.004533	0.015419	0.051461	0.007822	0.004129	0.033772	0.005069	0.020653
spd2-0	0.805961	0.816119	0.817705	0.768220	0.801290	0.775176	0.802709	0.848161	0.789288	0.778305	0.811254	0.795224	0.793364	0.803794	0.800236	0.856887	0.802995	0.800471	0.811875	0.799161
spd2-1	0.812775	0.828571	0.866071	0.786151	0.823529	0.829322	0.839400	0.828810	0.796137	0.832636	0.849673	0.814286	0.827740	0.838912	0.801268	0.885246	0.827506	0.813305	0.821121	0.839034
spd2	0.006814	0.012452	0.048366	0.017931	0.022240	0.054146	0.036691	0.019351	0.006850	0.054331	0.038419	0.019062	0.034376	0.035118	0.001032	0.028359	0.024510	0.012834	0.009245	0.039874
aod2-0	1.609928	1.631534	1.630547	1.535467	1.589281	1.542693	1.600042	1.693598	1.573196	1.547576	1.618777	1.586304	1.590720	1.599892	1.598321	1.710897	1.603367	1.595003	1.617440	1.593813
aod2-1	1.516522	1.579427	1.650992	1.459228	1.551225	1.549753	1.616390	1.545373	1.493175	1.588193	1.635802	1.532254	1.556087	1.568534	1.506915	1.706211	1.594297	1.503888	1.549267	1.605421
aod2	0.046703	0.026054	0.010222	0.038120	0.019028	0.003530	0.008174	0.074113	0.040010	0.020308	0.008513	0.027025	0.017317	0.015679	0.045703	0.002343	0.004535	0.045557	0.034087	0.005804
eod2-0	0.894798	0.900119	0.908059	0.849169	0.892426	0.876836	0.891304	0.928821	0.879863	0.863431	0.897819	0.882147	0.890606	0.886493	0.890187	0.920653	0.896591	0.892694	0.896708	0.878646
eod2-1	0.903846	0.897898	0.937705	0.881306	0.889571	0.920382	0.893417	0.921212	0.873457	0.885294	0.895062	0.903323	0.906452	0.924699	0.873112	0.962025	0.893617	0.902439	0.912903	0.900293
eod2	0.009048	0.002221	0.029646	0.032137	0.002855	0.043546	0.002113	0.007609	0.006406	0.021863	0.002757	0.021176	0.015845	0.038206	0.017075	0.041372	0.002974	0.009745	0.016195	0.021647
wcspd-000	0.779261	0.803077	0.822355	0.783755	0.773784	0.742236	0.803365	0.822382	0.768356	0.761759	0.806218	0.795218	0.792118	0.782698	0.785939	0.854603	0.789370	0.776135	0.798107	0.802672
wcspd-010	0.841076	0.827957	0.794118	0.755668	0.845178	0.792593	0.789474	0.885942	0.842105	0.754569	0.809160	0.788835	0.793566	0.806540	0.825316	0.842784	0.801471	0.832930	0.829630	0.776882
wcspd-100	0.850000	0.819048	0.823529	0.740196	0.841410	0.894495	0.823009	0.882653	0.801887	0.855769	0.833333	0.794737	0.796296	0.848214	0.794393	0.885845	0.843137	0.827586	0.816143	0.809756
wcspd-110	0.824074	0.881356	0.841667	0.736000	0.798561	0.764706	0.803279	0.877698	0.760331	0.855932	0.818182	0.819820	0.798246	0.880000	0.838462	0.868421	0.861111	0.831776	0.852459	0.822034
