accuracy	0.631409	0.643880	0.656813	0.649885	0.659584	0.653118	0.635566	0.648961	0.640647	0.659122	0.653118	0.648961	0.633718	0.653580	0.654503	0.643418	0.632333	0.654503	0.644342	0.643418
recall	0.605662	0.620751	0.631050	0.626493	0.623771	0.623454	0.608906	0.623154	0.611882	0.627347	0.625795	0.623234	0.616311	0.622705	0.628119	0.619365	0.611990	0.625733	0.617163	0.614287
precision	0.666451	0.676891	0.690416	0.679162	0.670430	0.683189	0.653206	0.677295	0.661951	0.669832	0.678958	0.675546	0.670137	0.671167	0.688443	0.683619	0.665114	0.675488	0.670605	0.667486
f1score	0.580685	0.601504	0.614932	0.610429	0.615102	0.606950	0.593020	0.606791	0.595259	0.619454	0.611316	0.607586	0.593629	0.610904	0.611137	0.596966	0.589819	0.613261	0.599977	0.597252
mcc	0.265236	0.292300	0.315937	0.301083	0.290477	0.300769	0.258341	0.295531	0.269217	0.294126	0.300080	0.294165	0.281345	0.289849	0.310761	0.296092	0.271964	0.297084	0.282761	0.276705
spd0-0	0.800799	0.778736	0.781214	0.770201	0.766589	0.783008	0.774681	0.769538	0.777587	0.744133	0.771512	0.770408	0.771231	0.759627	0.779573	0.794269	0.777275	0.764943	0.779954	0.773953
spd0-1	0.818402	0.804706	0.785203	0.788095	0.776286	0.813239	0.762980	0.820388	0.798077	0.808612	0.793258	0.800499	0.827189	0.813747	0.810185	0.811905	0.820707	0.792941	0.794872	0.831754
spd0	0.017603	0.025970	0.003989	0.017895	0.009697	0.030231	0.011701	0.050850	0.020490	0.064480	0.021747	0.030091	0.055958	0.054121	0.030612	0.017635	0.043432	0.027999	0.014918	0.057801
aod0-0	1.591368	1.550371	1.552916	1.531308	1.508881	1.548213	1.538465	1.525882	1.541074	1.469055	1.530396	1.525732	1.542326	1.502919	1.542581	1.576759	1.545745	1.512443	1.545749	1.533164
aod0-1	1.580520	1.528337	1.481933	1.493793	1.461216	1.574651	1.454680	1.566514	1.537900	1.530388	1.507588	1.547485	1.586318	1.542088	1.572489	1.572064	1.594045	1.519394	1.533744	1.610392
aod0	0.005424	0.011017	0.035492	0.018757	0.023833	0.013219	0.041893	0.020316	0.001587	0.030666	0.011404	0.010877	0.021996	0.019584	0.014954	0.002348	0.024150	0.003476	0.006003	0.038614
eod0-0	0.899891	0.893973	0.910398	0.891593	0.870390	0.903330	0.878319	0.882162	0.885776	0.862620	0.891473	0.890792	0.887991	0.870087	0.905435	0.909290	0.885745	0.884822	0.893362	0.884449
eod0-1	0.903101	0.895683	0.868794	0.880000	0.888889	0.884328	0.844291	0.919847	0.866667	0.881533	0.880137	0.874016	0.901754	0.905724	0.887640	0.899225	0.901235	0.872727	0.871324	0.897059
eod0	0.003210	0.001710	0.041604	0.011593	0.018499	0.019001	0.034028	0.037685	0.019109	0.018913	0.011336	0.016777	0.013764	0.035637	0.017794	0.010065	0.015489	0.012095	0.022039	0.012610
spd1-0	0.779958	0.766362	0.765884	0.764372	0.745942	0.777542	0.765747	0.758790	0.762139	0.720833	0.757343	0.753582	0.769074	0.751748	0.757984	0.780899	0.772917	0.740296	0.771110	0.768583
spd1-1	0.850949	0.817204	0.814505	0.791005	0.811497	0.810414	0.784574	0.818304	0.818548	0.827586	0.812245	0.816645	0.810617	0.808163	0.837302	0.829960	0.809655	0.827540	0.806011	0.817321
