accuracy	0.632794	0.632333	0.636490	0.633256	0.672055	0.655889	0.642956	0.636952	0.642494	0.646651	0.653580	0.663279	0.626328	0.637413	0.647113	0.655889	0.653118	0.650808	0.666513	0.636490
recall	0.619370	0.625047	0.627030	0.629073	0.657565	0.651404	0.633336	0.622464	0.636682	0.635532	0.641257	0.651097	0.623388	0.629410	0.628671	0.648217	0.647656	0.647823	0.656020	0.634647
precision	0.632780	0.628984	0.632404	0.629820	0.664474	0.651689	0.638386	0.635532	0.637754	0.638914	0.650415	0.662339	0.624359	0.631053	0.652769	0.653858	0.651253	0.647058	0.663947	0.633649
f1score	0.616214	0.625086	0.627075	0.629324	0.659040	0.651535	0.633709	0.620175	0.637057	0.636372	0.641273	0.650881	0.623549	0.629923	0.623238	0.648399	0.647882	0.647330	0.656535	0.633845
mcc	0.251793	0.254000	0.259378	0.258893	0.321964	0.303094	0.271675	0.257665	0.274434	0.274425	0.291527	0.313235	0.247745	0.260458	0.280406	0.302023	0.298887	0.294880	0.319869	0.268294
spd0-0	0.668379	0.572414	0.608247	0.543840	0.576834	0.545350	0.590012	0.634912	0.563179	0.571265	0.609884	0.617914	0.540728	0.563011	0.699365	0.597708	0.561899	0.510920	0.586406	0.491107
spd0-1	0.646489	0.696471	0.622912	0.619048	0.805369	0.609929	0.677201	0.776699	0.593750	0.729665	0.723596	0.735661	0.608295	0.654102	0.719907	0.630952	0.689394	0.675294	0.757576	0.699052
spd0	0.021890	0.124057	0.014664	0.075208	0.228536	0.064579	0.087189	0.141787	0.030571	0.158400	0.113712	0.117747	0.067567	0.091091	0.020542	0.033245	0.127495	0.164375	0.171170	0.207945
aod0-0	1.324652	1.136843	1.206057	1.077953	1.119485	1.070154	1.167041	1.256689	1.107768	1.122746	1.205630	1.217868	1.081315	1.107411	1.380622	1.180071	1.111996	1.000796	1.154051	0.964459
aod0-1	1.238360	1.353252	1.218279	1.180188	1.551428	1.136784	1.271626	1.489262	1.147590	1.369764	1.370311	1.402137	1.140892	1.249639	1.414845	1.213178	1.326797	1.298182	1.453377	1.359657
aod0	0.043146	0.108205	0.006111	0.051117	0.215972	0.033315	0.052293	0.116287	0.019911	0.123509	0.082340	0.092134	0.029789	0.071114	0.017112	0.016554	0.107400	0.148693	0.149663	0.197599
eod0-0	0.785637	0.702009	0.750000	0.673673	0.722866	0.684211	0.713496	0.747027	0.705819	0.693291	0.744186	0.761242	0.662818	0.688865	0.836957	0.747541	0.707291	0.655544	0.736670	0.624190
eod0-1	0.728682	0.741007	0.648936	0.683636	0.878472	0.723881	0.771626	0.862595	0.640741	0.804878	0.808219	0.830709	0.691228	0.717172	0.760300	0.713178	0.777778	0.738182	0.841912	0.746324
eod0	0.056954	0.038998	0.101064	0.009964	0.155606	0.039670	0.058131	0.115568	0.065078	0.111587	0.064033	0.069467	0.028411	0.028307	0.076657	0.034363	0.070487	0.082638	0.105241	0.122133
