accuracy	0.649423	0.641109	0.656351	0.654965	0.606467	0.659122	0.655427	0.596305	0.614319	0.654965	0.640185	0.644804	0.659122	0.630947	0.647113	0.651732	0.634180	0.636028	0.636490	0.621709
recall	0.639213	0.637150	0.643732	0.649504	0.592092	0.650099	0.642270	0.594848	0.618900	0.636640	0.625338	0.624900	0.656402	0.612565	0.643344	0.646636	0.619577	0.632959	0.614889	0.616904
precision	0.648021	0.638055	0.655639	0.651692	0.595150	0.654542	0.653409	0.594185	0.617979	0.648788	0.637333	0.652228	0.657538	0.624680	0.643614	0.648802	0.643712	0.632229	0.643271	0.617123
f1score	0.638639	0.637432	0.642979	0.649995	0.592486	0.650863	0.641886	0.594171	0.614113	0.636972	0.623938	0.617948	0.656669	0.611022	0.643465	0.647064	0.610953	0.632470	0.606248	0.617002
mcc	0.287099	0.275203	0.299133	0.301187	0.187217	0.304608	0.295469	0.189032	0.236877	0.285169	0.262397	0.275777	0.313938	0.236935	0.286958	0.295430	0.262181	0.265187	0.256595	0.234027
spd0-0	0.612443	0.541954	0.634021	0.559885	0.597788	0.581515	0.626016	0.505990	0.460835	0.627934	0.637791	0.701247	0.526863	0.644107	0.537796	0.559312	0.687394	0.528161	0.721198	0.535858
spd0-1	0.699758	0.625882	0.694511	0.635714	0.675615	0.676123	0.711061	0.601942	0.507212	0.775120	0.725843	0.783042	0.656682	0.749446	0.613426	0.630952	0.797980	0.600000	0.750583	0.646919
spd0	0.087315	0.083928	0.060490	0.075829	0.077827	0.094607	0.085045	0.095952	0.046377	0.147186	0.088052	0.081795	0.129819	0.105338	0.075630	0.071640	0.110586	0.071839	0.029385	0.111062
aod0-0	1.211499	1.076178	1.257302	1.109341	1.176165	1.142432	1.237951	1.003119	0.906594	1.236293	1.263566	1.387330	1.053545	1.272718	1.057534	1.103489	1.365576	1.038101	1.428646	1.058202
aod0-1	1.328782	1.152376	1.317156	1.169781	1.304966	1.276625	1.338696	1.123257	0.957636	1.448413	1.367513	1.514195	1.230590	1.438191	1.168471	1.215475	1.544904	1.130303	1.445040	1.212990
aod0	0.058642	0.038099	0.029927	0.030220	0.064400	0.067096	0.050373	0.060069	0.025521	0.106060	0.051973	0.063432	0.088522	0.082737	0.055469	0.055993	0.089664	0.046101	0.008197	0.077394
eod0-0	0.742111	0.667411	0.779867	0.699115	0.680717	0.720730	0.759956	0.581622	0.576509	0.748669	0.751938	0.822270	0.683603	0.748908	0.675000	0.707104	0.800871	0.653391	0.831338	0.637149
eod0-1	0.806202	0.737410	0.762411	0.749091	0.732639	0.779851	0.806228	0.709924	0.574074	0.860627	0.818493	0.854331	0.747368	0.814815	0.707865	0.709302	0.884774	0.683636	0.827206	0.746324
eod0	0.064091	0.069999	0.017456	0.049976	0.051922	0.059120	0.046273	0.128302	0.002435	0.111958	0.066555	0.032061	0.063766	0.065907	0.032865	0.002199	0.083903	0.030246	0.004133	0.109175
spd1-0	0.578136	0.511612	0.597376	0.528034	0.576570	0.552260	0.593772	0.490858	0.420830	0.597917	0.623776	0.664040	0.500000	0.620979	0.504613	0.529494	0.672917	0.491884	0.697139	0.516830
spd1-1	0.727642	0.647849	0.743375	0.661376	0.684492	0.690254	0.736702	0.588156	0.563172	0.772414	0.718367	0.811443	0.664275	0.753741	0.642857	0.657220	0.776552	0.637701	0.785519	0.635995
spd1	0.149506	0.136238	0.145999	0.133342	0.107922	0.137994	0.142930	0.097298	0.142342	0.174497	0.094591	0.147403	0.164275	0.132762	0.138244	0.127726	0.103635	0.145816	0.088380	0.119164
aod1-0	1.150737	1.019182	1.178984	1.047372	1.138369	1.092584	1.174291	0.977775	0.829046	1.181470	1.235315	1.324957	1.003826	1.229673	0.999229	1.055465	1.341712	0.963725	1.381958	1.023448
aod1-1	1.399442	1.242211	1.445955	1.267614	1.334034	1.313061	1.424531	1.141078	1.071485	1.474951	1.389708	1.566189	1.268108	1.461739	1.231119	1.249633	1.523581	1.233019	1.538356	1.221854
aod1	0.124352	0.111515	0.133486	0.110121	0.097832	0.110239	0.125120	0.081652	0.121220	0.146741	0.077196	0.120616	0.132141	0.116033	0.115945	0.097084	0.090934	0.134647	0.078199	0.099203
eod1-0	0.711538	0.646325	0.743758	0.673103	0.668857	0.691995	0.735772	0.588966	0.515232	0.723320	0.746328	0.783593	0.657931	0.730412	0.643347	0.667129	0.805746	0.619737	0.818908	0.625503
eod1-1	0.828508	0.743929	0.832941	0.770925	0.731092	0.800866	0.828571	0.642857	0.679458	0.858672	0.804933	0.896050	0.769953	0.821739	0.744541	0.772124	0.839907	0.729730	0.850000	0.721854
eod1	0.116969	0.097605	0.089183	0.097822	0.062236	0.108871	0.092799	0.053892	0.164226	0.135352	0.058604	0.112457	0.112022	0.091327	0.101194	0.104995	0.034162	0.109993	0.031092	0.096351
spd2-0	0.598480	0.528955	0.610949	0.553763	0.580891	0.546253	0.617197	0.521352	0.412007	0.636633	0.635991	0.690746	0.534924	0.634855	0.528960	0.496720	0.735023	0.501471	0.704879	0.520384
spd2-1	0.744493	0.659184	0.779018	0.645621	0.736383	0.800875	0.738758	0.534447	0.680258	0.725941	0.729847	0.804082	0.621924	0.776151	0.638478	0.836066	0.596737	0.690987	0.808190	0.682093
spd2	0.146013	0.130228	0.168069	0.091858	0.155492	0.254622	0.121561	0.013094	0.268250	0.089308	0.093857	0.113335	0.087000	0.141296	0.109518	0.339345	0.138286	0.189516	0.103310	0.161709
aod2-0	1.194175	1.056891	1.214887	1.105875	1.153003	1.082158	1.226092	1.039898	0.818380	1.260577	1.266979	1.376261	1.076200	1.262349	1.054756	0.987527	1.466631	0.995980	1.402328	1.035272
aod2-1	1.363443	1.195520	1.448836	1.155748	1.326145	1.512160	1.385749	0.959813	1.255303	1.309037	1.345062	1.500808	1.112668	1.393753	1.145611	1.598469	1.099942	1.237761	1.520109	1.254963
aod2	0.084634	0.069315	0.116975	0.024936	0.086571	0.215001	0.079829	0.040043	0.218462	0.024230	0.039041	0.062273	0.018234	0.065702	0.045428	0.305471	0.183345	0.120890	0.058890	0.109845
eod2-0	0.722543	0.650416	0.741203	0.691211	0.641054	0.683616	0.754005	0.604434	0.506865	0.756208	0.752009	0.800467	0.689655	0.713961	0.661215	0.627771	0.856818	0.609589	0.804767	0.617270
eod2-1	0.849359	0.768769	0.875410	0.759644	0.837423	0.875796	0.818182	0.624242	0.762346	0.823529	0.811728	0.903323	0.725806	0.900602	0.737160	0.924051	0.698582	0.795732	0.903226	0.774194
eod2	0.126816	0.118353	0.134207	0.068433	0.196370	0.192180	0.064177	0.019808	0.255481	0.067322	0.059719	0.102857	0.036151	0.186641	0.075945	0.296279	0.158237	0.186143	0.098458	0.156924
wcspd-000	0.542094	0.477949	0.563872	0.507384	0.545455	0.490683	0.550999	0.470226	0.370217	0.567485	0.589637	0.636175	0.468966	0.578785	0.493179	0.456067	0.684055	0.455121	0.672976	0.465570
wcspd-010	0.667482	0.612903	0.700535	0.629723	0.614213	0.619753	0.714286	0.594164	0.488722	0.715405	0.689567	0.764563	0.627346	0.697548	0.584810	0.538660	0.791667	0.571429	0.762963	0.577957
wcspd-100	0.672727	0.566667	0.651584	0.578431	0.625551	0.619266	0.685841	0.566327	0.462264	0.725962	0.712963	0.747368	0.629630	0.718750	0.523364	0.547945	0.813725	0.543103	0.699552	0.643902
wcspd-110	0.694444	0.618644	0.650000	0.624000	0.654676	0.613445	0.688525	0.618705	0.404959	0.796610	0.689394	0.792793	0.640351	0.736000	0.630769	0.596491	0.851852	0.551402	0.770492	0.576271
wcspd-001	0.633166	0.586207	0.663102	0.536697	0.621495	0.730000	0.654822	0.486239	0.556650	0.569444	0.639024	0.702020	0.481481	0.683673	0.497585	0.784038	0.459459	0.544118	0.767123	0.596154
wcspd-011	0.858824	0.684211	0.852459	0.708791	0.829268	0.830409	0.800000	0.538043	0.777778	0.852941	0.802548	0.890625	0.720779	0.844444	0.719101	0.872340	0.706250	0.801136	0.838509	0.747368
wcspd-101	0.676471	0.696970	0.842105	0.717949	0.866667	0.843750	0.794872	0.676471	0.743590	0.842105	0.863636	0.739130	0.645833	0.794872	0.742857	0.861111	0.657143	0.852941	0.875000	0.700000
wcspd-111	0.843137	0.796875	0.925000	0.826923	0.843137	0.944444	0.803571	0.651163	0.795455	0.870370	0.754717	0.925926	0.803571	0.857143	0.849057	0.901961	0.714286	0.788462	0.840909	0.762712
wcspd	0.316729	0.318926	0.361128	0.319539	0.321212	0.453761	0.252572	0.206245	0.425237	0.302886	0.273999	0.289751	0.334606	0.278358	0.355877	0.445894	0.392392	0.397820	0.202024	0.297141
wcaod-000	1.102115	0.979681	1.145795	1.038433	1.096842	0.997818	1.123056	0.952958	0.749906	1.147455	1.196311	1.288971	0.978784	1.170819	1.003505	0.933684	1.386839	0.921060	1.360419	0.941235
wcaod-010	1.313419	1.216301	1.395204	1.241892	1.223765	1.196557	1.411425	1.177885	0.961432	1.410338	1.362143	1.506168	1.236318	1.387045	1.153411	1.047430	1.572981	1.131865	1.512036	1.143564
