accuracy	0.633256	0.640647	0.611547	0.633718	0.633718	0.630485	0.630023	0.638337	0.633718	0.638337	0.629099	0.642032	0.624480	0.634642	0.646651	0.629561	0.618938	0.621709	0.622171	0.614319
recall	0.620688	0.633263	0.604621	0.624766	0.619305	0.618511	0.619219	0.626969	0.623867	0.625074	0.616751	0.628828	0.618187	0.619931	0.637251	0.621354	0.611107	0.614835	0.612912	0.606338
precision	0.632412	0.637666	0.606562	0.630257	0.623770	0.624817	0.624937	0.634908	0.628168	0.629947	0.623995	0.639865	0.623356	0.627704	0.642971	0.626439	0.616656	0.615937	0.616801	0.608343
f1score	0.618268	0.633370	0.604843	0.624568	0.620093	0.618418	0.619138	0.626463	0.624231	0.625819	0.616261	0.627615	0.617129	0.619927	0.637499	0.621021	0.609986	0.615180	0.613016	0.606665
mcc	0.252829	0.270894	0.211174	0.254964	0.243034	0.243246	0.244088	0.261756	0.251998	0.254975	0.240638	0.268467	0.241488	0.247512	0.280163	0.247741	0.227695	0.230769	0.229680	0.214672
spd0-0	0.640982	0.581034	0.578465	0.594842	0.608265	0.606200	0.605110	0.621221	0.587193	0.593589	0.611628	0.633220	0.588677	0.623687	0.593768	0.594842	0.600904	0.558046	0.592742	0.570281
spd0-1	0.711864	0.670588	0.599045	0.680952	0.655481	0.697400	0.668172	0.667476	0.682692	0.712919	0.705618	0.713217	0.679724	0.685144	0.678241	0.664286	0.676768	0.640000	0.648019	0.651659
spd0	0.070883	0.089554	0.020580	0.086110	0.047216	0.091200	0.063061	0.046255	0.095500	0.119330	0.093990	0.079997	0.091046	0.061457	0.084473	0.069443	0.075863	0.081954	0.055277	0.081378
aod0-0	1.269950	1.154478	1.150164	1.181211	1.192913	1.196883	1.199175	1.228463	1.159908	1.168596	1.212450	1.251606	1.177224	1.232087	1.171552	1.177517	1.193526	1.101593	1.172405	1.128327
aod0-1	1.371343	1.249572	1.092742	1.271473	1.228643	1.323808	1.245652	1.266209	1.284627	1.345373	1.324246	1.355241	1.278488	1.274892	1.280286	1.283520	1.296538	1.198182	1.234802	1.226324
