accuracy	0.672517	0.671594	0.687298	0.676212	0.676674	0.672055	0.665127	0.677136	0.663741	0.656813	0.685912	0.672979	0.677136	0.673903	0.678984	0.681755	0.672979	0.670670	0.678984	0.652656
recall	0.658829	0.659832	0.677415	0.665608	0.662952	0.656746	0.653358	0.662802	0.652392	0.643008	0.673360	0.659936	0.668766	0.658584	0.666017	0.670377	0.662748	0.660325	0.667542	0.638786
precision	0.678405	0.675003	0.686600	0.676948	0.669287	0.672390	0.662936	0.680782	0.660300	0.649560	0.685806	0.673952	0.683054	0.670888	0.680819	0.686004	0.678179	0.666382	0.678073	0.649767
f1score	0.656751	0.658623	0.678201	0.665582	0.664464	0.656480	0.653656	0.661872	0.652995	0.644047	0.674051	0.659614	0.666985	0.659383	0.665800	0.669555	0.660999	0.661305	0.668103	0.638460
mcc	0.336665	0.334491	0.363899	0.342368	0.332179	0.328764	0.316149	0.343113	0.312591	0.292495	0.358950	0.333593	0.351530	0.329242	0.346520	0.356037	0.340577	0.326651	0.345454	0.288344
spd0-0	0.644977	0.627586	0.607675	0.611461	0.596624	0.633180	0.612079	0.635482	0.600343	0.595306	0.609884	0.628118	0.614674	0.619603	0.625505	0.628080	0.626908	0.590230	0.605991	0.615032
spd0-1	0.779661	0.755294	0.673031	0.726190	0.706935	0.765957	0.704289	0.786408	0.716346	0.739234	0.750562	0.743142	0.755760	0.747228	0.750000	0.742857	0.760101	0.691765	0.731935	0.767773
spd0	0.134684	0.127708	0.065356	0.114729	0.110311	0.132777	0.092210	0.150926	0.116003	0.143928	0.140678	0.115024	0.141087	0.127625	0.124495	0.114777	0.133193	0.101535	0.125944	0.152741
aod0-0	1.274084	1.246049	1.202996	1.211384	1.159999	1.244506	1.209425	1.253464	1.181462	1.169719	1.202600	1.237543	1.229159	1.218633	1.230762	1.238890	1.241284	1.158584	1.192406	1.213137
aod0-1	1.495324	1.404713	1.213931	1.343824	1.316955	1.461940	1.307082	1.484580	1.364789	1.379552	1.402073	1.405351	1.403886	1.381674	1.424174	1.427505	1.449286	1.299394	1.380620	1.460294
aod0	0.110620	0.079332	0.005467	0.066220	0.078478	0.108717	0.048829	0.115558	0.091664	0.104916	0.099737	0.083904	0.087363	0.081520	0.096706	0.094308	0.104001	0.070405	0.094107	0.123579
eod0-0	0.798694	0.775670	0.775442	0.765487	0.738672	0.780881	0.752212	0.784865	0.747845	0.724175	0.772979	0.777302	0.777136	0.758734	0.779348	0.796721	0.781284	0.740581	0.762786	0.741901
eod0-1	0.875969	0.874101	0.797872	0.847273	0.826389	0.861940	0.820069	0.904580	0.796296	0.822300	0.859589	0.854331	0.873684	0.868687	0.872659	0.841085	0.880658	0.792727	0.845588	0.860294
eod0	0.077275	0.098431	0.022430	0.081786	0.087717	0.081060	0.067857	0.119715	0.048451	0.098125	0.086610	0.077029	0.096548	0.109953	0.093311	0.044364	0.099374	0.052146	0.082803	0.118393
spd1-0	0.610371	0.596763	0.562845	0.576295	0.546930	0.603107	0.581033	0.603376	0.558058	0.545833	0.579021	0.590258	0.589918	0.586713	0.584812	0.591292	0.601389	0.544107	0.573622	0.582048
spd1-1	0.787263	0.759409	0.736402	0.740741	0.756684	0.765020	0.724734	0.780619	0.745968	0.776552	0.755102	0.756827	0.754663	0.761905	0.772487	0.763833	0.750345	0.735294	0.743169	0.765900
spd1	0.176891	0.162646	0.173556	0.164445	0.209754	0.161913	0.143701	0.177244	0.187910	0.230718	0.176081	0.166569	0.164745	0.175191	0.187675	0.172541	0.148956	0.191187	0.169548	0.183852
aod1-0	1.214608	1.188877	1.106062	1.143067	1.069717	1.192943	1.147877	1.200459	1.097944	1.076770	1.140669	1.176610	1.184091	1.155953	1.158783	1.178157	1.197498	1.064600	1.131184	1.150803
aod1-1	1.507302	1.454928	1.423473	1.419728	1.438025	1.469908	1.395397	1.489640	1.433859	1.483110	1.451464	1.435681	1.448218	1.460158	1.474400	1.465589	1.452468	1.417141	1.424128	1.486624
aod1	0.146347	0.133026	0.158705	0.138330	0.184154	0.138483	0.123760	0.144590	0.167957	0.203170	0.155397	0.129535	0.132064	0.152102	0.157808	0.143716	0.127485	0.176270	0.146472	0.167911
eod1-0	0.758242	0.751734	0.745072	0.735172	0.697766	0.758480	0.733062	0.760000	0.694040	0.675889	0.753004	0.739745	0.765517	0.742364	0.735254	0.764216	0.771546	0.694737	0.732357	0.723490
eod1-1	0.908686	0.874172	0.844706	0.863436	0.857143	0.863636	0.826374	0.891775	0.869074	0.862955	0.863229	0.873181	0.861502	0.856522	0.903930	0.873894	0.853828	0.851351	0.865909	0.843267
eod1	0.150444	0.122438	0.099634	0.128264	0.159377	0.105156	0.093311	0.131775	0.175035	0.187066	0.110225	0.133435	0.095985	0.114158	0.168676	0.109677	0.082282	0.156615	0.133552	0.119777
spd2-0	0.640561	0.609552	0.567851	0.595579	0.579719	0.617681	0.578916	0.627521	0.586816	0.574985	0.593787	0.607761	0.611758	0.605809	0.617021	0.605844	0.616935	0.567981	0.593180	0.603717
spd2-1	0.784141	0.800000	0.821429	0.763747	0.766885	0.814004	0.820128	0.793319	0.753219	0.792887	0.806100	0.791837	0.762864	0.788703	0.769556	0.803279	0.790210	0.763948	0.769397	0.782696
spd2	0.143580	0.190448	0.253578	0.168168	0.187166	0.196323	0.241212	0.165799	0.166403	0.217902	0.212314	0.184076	0.151106	0.182894	0.152535	0.197435	0.173274	0.195967	0.176216	0.178979
aod2-0	1.277697	1.217803	1.126371	1.189310	1.138155	1.224267	1.148666	1.249949	1.165197	1.136489	1.180306	1.208337	1.230325	1.198386	1.230190	1.204275	1.229344	1.126520	1.174758	1.200047
aod2-1	1.455670	1.503720	1.559418	1.398378	1.409152	1.531268	1.577311	1.460728	1.395844	1.480648	1.509259	1.482681	1.397363	1.454035	1.421386	1.521342	1.501737	1.404383	1.432635	1.478100
aod2	0.088986	0.142958	0.216523	0.104534	0.135498	0.153501	0.214322	0.105390	0.115324	0.172080	0.164477	0.137172	0.083519	0.127825	0.095598	0.158534	0.136197	0.138932	0.128938	0.139026
eod2-0	0.793064	0.764566	0.741203	0.749406	0.725576	0.764972	0.729977	0.778296	0.728833	0.702032	0.762342	0.758460	0.777646	0.748014	0.778037	0.770128	0.778409	0.714612	0.749149	0.733956
eod2-1	0.878205	0.885886	0.895082	0.872404	0.852761	0.894904	0.874608	0.896970	0.839506	0.864706	0.879630	0.885196	0.864516	0.885542	0.858006	0.905063	0.875887	0.853659	0.874194	0.856305
eod2	0.085142	0.121320	0.153879	0.122997	0.127184	0.129933	0.144631	0.118673	0.110673	0.162674	0.117287	0.126737	0.086870	0.137529	0.079969	0.134935	0.097477	0.139047	0.125045	0.122349
wcspd-000	0.561602	0.541538	0.514970	0.523207	0.487315	0.544513	0.516299	0.551335	0.513961	0.479550	0.516062	0.538462	0.541872	0.530381	0.547744	0.530335	0.558071	0.485744	0.503680	0.528263
wcspd-010	0.728606	0.690860	0.657754	0.692695	0.705584	0.698765	0.659148	0.702918	0.686717	0.718016	0.671756	0.682039	0.710456	0.697548	0.711392	0.701031	0.676471	0.690073	0.703704	0.685484
wcspd-100	0.772727	0.719048	0.615385	0.681373	0.651982	0.724771	0.672566	0.734694	0.674528	0.692308	0.699074	0.726316	0.722222	0.714286	0.663551	0.716895	0.705882	0.650862	0.717489	0.712195
wcspd-110	0.750000	0.720339	0.641667	0.696000	0.733813	0.739496	0.631148	0.805755	0.685950	0.694915	0.757576	0.729730	0.701754	0.728000	0.761538	0.701754	0.777778	0.644860	0.696721	0.779661
wcspd-001	0.648241	0.704433	0.705882	0.660550	0.663551	0.710000	0.741117	0.688073	0.600985	0.643519	0.692683	0.696970	0.634921	0.688776	0.618357	0.704225	0.675676	0.637255	0.694064	0.658654
wcspd-011	0.917647	0.863158	0.912568	0.835165	0.878049	0.888889	0.880000	0.880435	0.872222	0.923529	0.923567	0.890625	0.837662	0.866667	0.859551	0.888298	0.881250	0.863636	0.844720	0.873684
wcspd-101	0.735294	0.787879	0.815789	0.846154	0.800000	0.875000	0.820513	0.794118	0.794872	0.894737	0.840909	0.652174	0.833333	0.743590	0.914286	0.777778	0.857143	0.882353	0.775000	0.825000
wcspd-111	0.901961	0.921875	0.950000	0.884615	0.823529	0.925926	0.910714	0.953488	0.931818	0.907407	0.867925	0.907407	0.928571	0.904762	0.962264	0.921569	0.877551	0.846154	0.863636	0.898305
wcspd	0.356045	0.380337	0.435030	0.361409	0.390734	0.381412	0.394416	0.402154	0.417857	0.443979	0.407505	0.368946	0.386700	0.374381	0.414520	0.391234	0.323179	0.396608	0.359956	0.370042
wcaod-000	1.146043	1.112372	1.052183	1.072078	0.986115	1.107961	1.054052	1.126135	1.042651	0.971960	1.058248	1.098067	1.127500	1.080831	1.114034	1.086870	1.139560	0.985027	1.026806	1.072731
wcaod-010	1.429095	1.366945	1.308723	1.365324	1.373350	1.358008	1.295504	1.375000	1.353622	1.411854	1.322171	1.332450	1.404807	1.370056	1.403089	1.367505	1.331134	1.362223	1.379440	1.358358
wcaod-100	1.506647	1.350556	1.127513	1.289516	1.217467	1.379316	1.264923	1.377631	1.301084	1.317437	1.325926	1.427898	1.388909	1.322570	1.276165	1.392436	1.353571	1.235093	1.379395	1.348666
wcaod-110	1.441094	1.389860	1.195107	1.326667	1.397375	1.455882	1.206020	1.553030	1.343007	1.285370	1.439694	1.337838	1.333757	1.386525	1.472490	1.354167	1.506311	1.246003	1.309685	1.515982
wcaod-001	1.214698	1.373249	1.347335	1.228300	1.243629	1.350064	1.443279	1.282102	1.124271	1.222794	1.277812	1.343566	1.212739	1.290408	1.183661	1.360746	1.297297	1.176471	1.311844	1.251028
wcaod-011	1.736676	1.595875	1.770492	1.569123	1.586261	1.672549	1.713652	1.629756	1.655723	1.749480	1.836801	1.677521	1.561876	1.597884	1.529543	1.692823	1.685455	1.593388	1.566737	1.639098
wcaod-101	1.284444	1.295000	1.331797	1.311765	1.440000	1.589744	1.403226	1.416667	1.415179	1.649770	1.416667	1.098214	1.367521	1.200000	1.733333	1.374545	1.662393	1.406250	1.345238	1.633333
wcaod-111	1.809091	1.787330	1.803922	1.628571	1.596154	1.845238	1.751515	1.939394	1.749206	1.809091	1.699134	1.642857	1.673469	1.707447	1.902930	1.811111	1.657143	1.692308	1.682353	1.768254
wcaod	0.331524	0.337479	0.375869	0.278247	0.305019	0.368638	0.348732	0.406630	0.353278	0.418565	0.389276	0.289727	0.272985	0.313308	0.394448	0.362121	0.272947	0.353640	0.327774	0.347762
wceod-000	0.719376	0.709751	0.718220	0.677494	0.643956	0.706402	0.683973	0.695946	0.666667	0.606911	0.701794	0.703125	0.735892	0.685841	0.712054	0.722348	0.744726	0.641593	0.675615	0.674672
wceod-010	0.869955	0.797980	0.781250	0.830189	0.793103	0.814655	0.770642	0.836538	0.834906	0.824645	0.805687	0.807860	0.805970	0.775120	0.857143	0.829493	0.776786	0.818182	0.821429	0.752475
wceod-100	0.854962	0.823529	0.757143	0.814516	0.787234	0.856061	0.788732	0.884298	0.735294	0.798450	0.807407	0.820755	0.830769	0.859155	0.798387	0.801527	0.841667	0.778571	0.816176	0.854839
wceod-110	0.919355	0.909091	0.753247	0.826667	0.879518	0.808824	0.774648	0.916667	0.805970	0.771084	0.911392	0.851351	0.865672	0.833333	0.918919	0.833333	0.919355	0.734375	0.851351	0.849315
